buffer100m_nhdid	lagoslakeid	buffer100m_ha
120019170	233	1939.1247
86282169	234	25.4984
{9B8F626A-B057-4221-B514-4A6A83BB6A3B}	235	17.7154
34125954	236	18.5808
107514222	237	24.5385
{109C6B22-AFFA-42D4-8CD9-4C6F0C8D8196}	239	21.1849
81002103	240	147.8811
{A7A62B65-C0C0-499A-AF4C-8D60AAA136F4}	241	13.1778
{1A31679B-82DF-4CB0-9B42-D8D3E0F3A0C3}	242	15.7268
82985169	243	19.642
{F82846BB-A95B-4A83-8210-AA61A42DE455}	244	15.5366
121622369	245	15.7808
151717764	246	12.0942
106374668	248	11.9586
92083405	249	36.7188
114543471	250	20.7705
120020319	251	183.2752
114545117	252	66.4303
{4DF173F6-BCC4-4708-A355-89EC4912B154}	253	15.6189
114540809	254	20.4479
37648901	255	29.8554
91685209	256	18.4594
59750175	257	31.126
{17D46EDF-1F53-44BA-AF09-990A8A747210}	258	17.8644
120019273	259	1413.7746
120019246	260	404.6382
114544533	261	16.8583
106374252	262	13.1485
34131169	263	20.5774
59748287	264	27.7047
114545077	265	25.3612
91685535	266	19.8902
114541495	267	13.1276
120018792	269	57.4522
151949646	270	11.5653
34129875	271	16.7066
86282143	272	26.0644
74928207	273	74.7059
114544853	274	12.4645
{81993217-A8BC-4252-8C3F-4BEDE239C321}	275	15.2533
{D32C0E0B-5CC6-4852-9036-FD99D6EA09A7}	277	13.4401
59807477	279	41.4888
34127736	280	14.2458
74928691	281	23.7761
120018121	282	16.2408
34129232	283	16.077
151717640	284	17.7816
{B9837C31-354C-43C7-8E5F-0551E2D9D1A2}	285	33.0427
{16D1BF87-2FC6-4E3E-97F9-29C0EB2FC556}	286	12.7019
75473087	290	34.2627
120019618	291	59.0629
86444727	292	30.5549
80002609	293	15.1879
41240771	294	75.5967
120019381	295	156.8625
114540377	296	19.639
{FE061ACE-9DDB-475B-BAA8-E1AA83974FAB}	297	14.4925
{84C58996-4E97-4068-AFA3-DF0D2526E008}	298	16.6719
47710417	299	58.7465
114540775	301	21.8158
{91BCB789-03B3-4CB9-B82B-62D713158C5A}	302	26.3417
86282201	303	11.8278
80994849	304	48.9096
58125935	305	79.5475
45386512	306	32.332
91596365	307	19.7675
{24DEA660-8BBE-4424-AB34-85CB711BE134}	308	16.6673
114539675	309	153.3667
{BF4B9A8E-A831-47D5-BFE5-40D563862312}	310	96.2393
114545899	311	15.0601
81001163	312	76.0148
80003361	313	24.4614
06f88994-e7cd-4d00-af63-3f0932587386	314	44.869
120018307	315	262.7306
120019217	316	333.78
82552878	317	74.194
{7B4E27C9-219E-4DC8-A92C-0E9E219884F9}	318	111.9592
91677959	320	55.3899
123271399	321	18.5696
107070332	322	42.7446
{C47CFE01-7B56-48C4-A282-A09EBA602F40}	323	13.3648
82986113	324	12.5803
{8E8B3115-C6A4-4B9E-A26D-6495EFA6BD91}	325	16.1136
69546003	327	13.0434
120019424	328	81.7881
80999011	329	48.8504
59747975	330	18.7886
114540293	331	13.8961
{2FAB0857-4A5E-4EDF-AF2E-D0127F799B8E}	332	13.5048
117648263	333	44.6642
120018459	334	141.987
91595057	335	28.8616
114545701	336	26.856
120019617	338	42.5759
120020742	339	77.2158
107515214	340	11.3838
45730974	341	23.9568
120019283	342	29.4173
166866592	343	171.5814
120020414	345	139.4908
90768891	346	13.0031
114540021	348	16.669
86364517	349	14.7565
111727555	350	19.0198
114544899	352	89.6098
{F48EC6E6-B6C3-437D-99B0-0E7EC88A49C0}	353	15.8815
45380490	354	52.7837
120018056	356	26.1903
80001653	358	26.2771
59746057	359	30.3927
{68DA53D9-6375-4D29-94E0-75B2D55FC0E9}	360	57.9911
91596427	361	14.8985
81004679	362	23.4119
130642900	363	112.4822
80005955	364	70.7278
59810417	366	21.4091
{9042FEE3-F7BE-4DE8-A00E-41A1421F2029}	367	12.8064
120019267	368	315.7064
118874139	369	33.4737
{7AEDAA6A-33B6-4411-9B09-20A004C00EF1}	370	16.7231
111726811	371	18.4135
105954515	372	194.5612
34130962	373	13.7454
34128651	375	30.0349
114540651	376	15.8717
114545757	377	25.351
83836007	378	20.4305
114545041	379	12.4735
87818559	380	19.617
123271729	381	287.0058
86444957	383	16.889
90769751	384	15.3077
120019265	385	44.4847
120019747	386	193.0912
157362379	387	26.7093
45715980	388	40.8037
114336707	389	18.731
34127702	392	16.8572
59719909	393	25.7733
120019863	394	43.2628
{4A47E00E-20C1-4BB8-93B8-D9D6968DF861}	395	13.5657
120019137	396	38.8507
{4EBEC703-3C82-4D55-8291-68177049D57A}	397	27.6449
34125969	398	29.5558
120020096	401	86.9454
86367431	403	120.9451
114544445	404	14.077
72863203	405	31.2663
136863942	406	111.4566
120020295	407	146.1846
111726873	408	20.7491
70330213	409	59.1741
{22EDCC41-568F-40C2-B994-F3AA2E9DB28A}	410	18.1501
80999663	411	99.6539
120020669	412	58.0406
120018428	413	56.6756
120019289	414	113.5611
75661291	417	70.3451
{FDD359C2-E57D-40B5-84C2-4D0A12C0807D}	418	16.5768
105954303	419	149.7838
114545873	420	17.4612
47481339	421	23.1351
120018775	422	61.6305
86445063	423	16.4993
107074568	424	14.3845
80005045	425	116.8778
72862901	426	18.33
106374614	427	18.0208
86282127	428	23.5708
120018482	429	132.2997
120019279	430	114.7924
45338847	431	42.7922
5a0e0d42-f818-43ea-a119-abe59d27ffec	432	37.0116
80996233	433	183.3718
114542557	434	12.7431
120019574	435	57.9841
86367839	436	24.5917
152707902	437	58.3893
120020649	438	55.7884
90148115	439	244.5001
120019801	440	51.4841
59751073	441	40.7869
91691877	442	73.8496
70333917	443	27.7063
82815694	444	58.8851
123148135	446	36.6115
152857115	447	114.4617
122383011	448	29.8992
123147641	449	88.6278
167745904	450	15.4227
80600125	451	250.9306
167258151	452	84.4344
123148210	453	22.8424
120018631	454	105.4852
145163152	455	126.8664
76244444	456	22.9954
84624244	457	49.8263
114543161	458	13.8887
58006255	459	61.2386
120019012	460	65.7446
86275737	461	69.0519
59724483	462	33.7264
75653725	463	20.7895
80005885	464	37.7343
59722361	465	73.2448
151717761	466	25.3248
120020970	467	34.8444
34242386	468	48.9554
59752627	469	35.263
122373886	470	48.0329
159108014	471	31.8868
102015314	472	28.9633
113235993	473	67.9299
120018379	474	114.0404
120020268	475	52.0607
91574847	476	36.8098
69545713	477	29.8877
120018763	478	98.5
145333821	480	48.7
155636192	481	107.9931
120018620	482	370.7439
155471071	483	53.7783
145331665	484	75.8073
45363479	485	29.8977
114539753	486	53.6173
121860556	487	58.0026
45719228	489	52.4439
91689945	490	100.6553
34242916	491	108.0342
155637423	492	20.3773
120018639	493	197.4822
152019094	494	491.9604
69886614	495	33.3451
152840297	496	87.0871
122985904	497	27.2699
102012332	498	19.3021
60430459	499	37.353
26061106	500	30.2757
155417401	501	30.7345
58755758	502	25.7154
105953947	503	85.3187
113470369	504	87.3535
56131419	505	32.5449
122937031	506	23.8226
34242518	507	42.327
70331947	508	14.513
135696109	509	23.1744
139260790	510	20.2542
143249311	511	38.9416
151717714	512	20.0202
74715183	513	20.141
87819837	514	46.7444
81640527	515	53.1132
155352629	516	169.5039
{37E3C061-DB35-4DF9-B960-87E32076AAFA}	517	26.2392
155291408	518	754.6001
120018392	519	209.9292
155641546	520	29.0211
155642902	521	13.1945
64659432	522	26.7432
143250723	523	40.4114
120020181	524	65.435
120020630	525	71.4277
155469589	526	31.3089
120019377	527	118.6217
150994186	528	147.2656
123166131	529	10.9205
69884644	530	133.8363
120020354	531	214.0369
80006819	532	40.3359
91597267	533	82.4406
114541263	534	41.4393
152372846	535	49.4267
83977851	536	237.3145
120018725	537	80.6441
70336203	538	31.7015
45339407	539	52.015
120020190	540	27.6481
83976061	541	39.3564
120018642	542	276.2206
152017059	543	389.8858
120020073	544	208.4636
155639924	545	57.4788
86445563	546	80.3126
152512544	547	54.2405
129225118	548	21.1865
120020679	549	99.914
75652307	550	19.2971
86444267	551	64.7273
120020343	552	258.213
69543769	553	17.1755
155639336	554	168.2889
120020616	555	13.9315
80006369	556	11.9575
45722930	557	52.2297
87818985	558	40.3106
45340797	559	93.7887
81003807	560	27.6379
120020651	562	159.626
74924157	564	65.6574
90771289	565	66.0849
70331829	566	22.3488
167258122	567	91.6059
eff51779-4b34-4b56-a784-e5eb50a4fe11	568	73.2207
69543991	569	16.2217
70334639	570	21.9863
120019492	571	85.7022
155640954	572	25.3696
114540053	573	206.7945
121629875	574	343.1664
44364664	575	288.8253
155641554	576	21.4502
146647236	577	94.1937
120020633	578	40.3147
90346634	579	17.8016
70330781	580	21.2876
70336029	581	33.9451
155642770	582	12.1104
120019513	583	794.2495
120018590	584	573.6362
120023798	585	40.349
155442657	586	17.9449
106351867	587	64.5769
120020106	588	69.604
80006869	589	27.861
120019934	590	81.4324
59745649	591	44.1372
76154981	592	21.6224
120019817	594	43.3637
53455439	595	91.5507
120019218	596	131.1776
152517725	597	155.5119
167258106	598	585.6096
{E25FD212-AA7B-4AC7-919D-6EEDD10D0C75}	599	60.1285
69547839	600	16.441
56128955	601	15.9179
129226232	602	669.3882
