hu8_states	hu8	hu8_name	hu8_ha	hu8_pct_in_nwi	hu8_ha_in_nwi	hu8_lat	hu8_long	hu8_zoneid
CN,ME	01030001	Upper Kennebec	410887.958646468000000	99.976406251788006	410791.014782479500000	45.601840894928465	-69.956218758938434	HU8_10
PA	02050301	Lower Susquehanna-Penns	375065.946429588020000	100.000000000000070	375065.946447557830000	40.737334703934557	-76.928788198949135	HU8_100
PA	02050305	Lower Susquehanna-Swatara	486052.417561704000000	99.999999999999929	486052.417594732540000	40.284443501748825	-76.985457693139494	HU8_101
MD,PA	02050306	Lower Susquehanna	643815.506854812960000	88.678335138843707	570924.872989472820000	39.938382130559013	-76.492365915831655	HU8_102
MD	02070009	Monocacy	251100.129538259000000	23.499787418762487	59007.996641608333000	39.585919364424448	-77.271280329165151	HU8_104
MD,WV	02070002	North Branch Potomac	347864.391513108970000	19.068120310082971	66331.200681849878000	39.509743420730409	-78.972517026968532	HU8_105
MD,PA	05020006	Youghiogheny	456103.385458195000000	72.226877264303468	329429.232393411690000	39.870942599106982	-79.385252958586477	HU8_106
NY	04130003	Lower Genesee	276358.678196482010000	99.999999999999915	276358.678252788090000	42.903496757140935	-77.809431831815161	HU8_107
NY	04140201	Seneca	896110.650373023000000	100.000000000000040	896110.650369743120000	42.777232072725091	-76.775322839895921	HU8_108
PA	02050106	Upper Susquehanna-Tunkhannock	519142.974899324010000	100.000000000000090	519142.974952766150000	41.678878245215955	-76.169902236084155	HU8_109
ME	01020004	Piscataquis	378487.361263245980000	100.000000000000090	378487.361238712560000	45.347093410101159	-69.219396307336282	HU8_11
PA	02050201	Upper West Branch Susquehanna	413600.523744280970000	100.000000000000070	413600.523739941010000	40.910063015193138	-78.419271775298526	HU8_110
PA	02050202	Sinnemahoning	267795.659061042010000	99.999999999999915	267795.659059057540000	41.439148506496750	-78.246240852892868	HU8_111
PA	02050203	Middle West Branch Susquehanna	203122.465014888000000	99.999999999999773	203122.465001161060000	41.366511838428863	-77.683898709809583	HU8_112
PA	02050204	Bald Eagle	200269.845847958990000	100.000000000000000	200269.845931480780000	40.982387251258771	-77.724411211112894	HU8_113
PA	02050205	Pine	253997.509669152990000	100.000000000000280	253997.509696680270000	41.607425217229647	-77.450083667023691	HU8_114
PA	02050206	Lower West Branch Susquehanna	468695.134244875980000	99.999999999999872	468695.135480256050000	41.281074037888381	-76.850967659170266	HU8_115
PA	02050302	Upper Juniata	256636.690674118000000	99.999999999999972	256636.690657992090000	40.549059378923765	-78.190645251803517	HU8_116
PA	02050303	Raystown	249209.023369175000000	100.000000000000280	249209.023335842100000	40.121789525700464	-78.393135054234108	HU8_117
PA	02050304	Lower Juniata	375668.399622110010000	99.999999999999915	375668.399529997610000	40.443218426633187	-77.618056722987021	HU8_118
PA	05010005	Clarion	323396.311236081000000	100.000000000000130	323396.311242623600000	41.370137346093472	-79.011330991943055	HU8_119
ME	01020005	Lower Penobscot	620080.736528211040000	100.000000000000040	620080.736478257690000	45.043653180952283	-68.671861767356845	HU8_12
PA	05010006	Middle Allegheny-Redbank	436110.615977586010000	99.999999999999957	436110.615972039120000	40.947478092582877	-79.199145794890512	HU8_120
PA	05010007	Conemaugh	355512.220186658030000	99.999999999999758	355512.220162171230000	40.359892861420548	-78.963424043743032	HU8_121
