hu8_zoneid	hu8_canopy2001_min	hu8_canopy2001_max	hu8_canopy2001_mean	hu8_canopy2001_std	hu8_damdensity_pointcount	hu8_damdensity_pointsperha	hu8_damdensity_pointspersqkm	hu8_nlcd1992_ha_0	hu8_nlcd1992_pct_0	hu8_nlcd1992_ha_11	hu8_nlcd1992_pct_11	hu8_nlcd1992_ha_21	hu8_nlcd1992_pct_21	hu8_nlcd1992_ha_22	hu8_nlcd1992_pct_22	hu8_nlcd1992_ha_23	hu8_nlcd1992_pct_23	hu8_nlcd1992_ha_31	hu8_nlcd1992_pct_31	hu8_nlcd1992_ha_32	hu8_nlcd1992_pct_32	hu8_nlcd1992_ha_33	hu8_nlcd1992_pct_33	hu8_nlcd1992_ha_41	hu8_nlcd1992_pct_41	hu8_nlcd1992_ha_42	hu8_nlcd1992_pct_42	hu8_nlcd1992_ha_43	hu8_nlcd1992_pct_43	hu8_nlcd1992_ha_51	hu8_nlcd1992_pct_51	hu8_nlcd1992_ha_61	hu8_nlcd1992_pct_61	hu8_nlcd1992_ha_71	hu8_nlcd1992_pct_71	hu8_nlcd1992_ha_81	hu8_nlcd1992_pct_81	hu8_nlcd1992_ha_82	hu8_nlcd1992_pct_82	hu8_nlcd1992_ha_83	hu8_nlcd1992_pct_83	hu8_nlcd1992_ha_85	hu8_nlcd1992_pct_85	hu8_nlcd1992_ha_91	hu8_nlcd1992_pct_91	hu8_nlcd1992_ha_92	hu8_nlcd1992_pct_92	hu8_nlcd2001_ha_0	hu8_nlcd2001_pct_0	hu8_nlcd2001_ha_11	hu8_nlcd2001_pct_11	hu8_nlcd2001_ha_21	hu8_nlcd2001_pct_21	hu8_nlcd2001_ha_22	hu8_nlcd2001_pct_22	hu8_nlcd2001_ha_23	hu8_nlcd2001_pct_23	hu8_nlcd2001_ha_24	hu8_nlcd2001_pct_24	hu8_nlcd2001_ha_31	hu8_nlcd2001_pct_31	hu8_nlcd2001_ha_41	hu8_nlcd2001_pct_41	hu8_nlcd2001_ha_42	hu8_nlcd2001_pct_42	hu8_nlcd2001_ha_43	hu8_nlcd2001_pct_43	hu8_nlcd2001_ha_52	hu8_nlcd2001_pct_52	hu8_nlcd2001_ha_71	hu8_nlcd2001_pct_71	hu8_nlcd2001_ha_81	hu8_nlcd2001_pct_81	hu8_nlcd2001_ha_82	hu8_nlcd2001_pct_82	hu8_nlcd2001_ha_90	hu8_nlcd2001_pct_90	hu8_nlcd2001_ha_95	hu8_nlcd2001_pct_95	hu8_nlcd2006_ha_0	hu8_nlcd2006_pct_0	hu8_nlcd2006_ha_11	hu8_nlcd2006_pct_11	hu8_nlcd2006_ha_21	hu8_nlcd2006_pct_21	hu8_nlcd2006_ha_22	hu8_nlcd2006_pct_22	hu8_nlcd2006_ha_23	hu8_nlcd2006_pct_23	hu8_nlcd2006_ha_24	hu8_nlcd2006_pct_24	hu8_nlcd2006_ha_31	hu8_nlcd2006_pct_31	hu8_nlcd2006_ha_41	hu8_nlcd2006_pct_41	hu8_nlcd2006_ha_42	hu8_nlcd2006_pct_42	hu8_nlcd2006_ha_43	hu8_nlcd2006_pct_43	hu8_nlcd2006_ha_52	hu8_nlcd2006_pct_52	hu8_nlcd2006_ha_71	hu8_nlcd2006_pct_71	hu8_nlcd2006_ha_81	hu8_nlcd2006_pct_81	hu8_nlcd2006_ha_82	hu8_nlcd2006_pct_82	hu8_nlcd2006_ha_90	hu8_nlcd2006_pct_90	hu8_nlcd2006_ha_95	hu8_nlcd2006_pct_95	hu8_nlcd2011_ha_0	hu8_nlcd2011_pct_0	hu8_nlcd2011_ha_11	hu8_nlcd2011_pct_11	hu8_nlcd2011_ha_21	hu8_nlcd2011_pct_21	hu8_nlcd2011_ha_22	hu8_nlcd2011_pct_22	hu8_nlcd2011_ha_23	hu8_nlcd2011_pct_23	hu8_nlcd2011_ha_24	hu8_nlcd2011_pct_24	hu8_nlcd2011_ha_31	hu8_nlcd2011_pct_31	hu8_nlcd2011_ha_41	hu8_nlcd2011_pct_41	hu8_nlcd2011_ha_42	hu8_nlcd2011_pct_42	hu8_nlcd2011_ha_43	hu8_nlcd2011_pct_43	hu8_nlcd2011_ha_52	hu8_nlcd2011_pct_52	hu8_nlcd2011_ha_71	hu8_nlcd2011_pct_71	hu8_nlcd2011_ha_81	hu8_nlcd2011_pct_81	hu8_nlcd2011_ha_82	hu8_nlcd2011_pct_82	hu8_nlcd2011_ha_90	hu8_nlcd2011_pct_90	hu8_nlcd2011_ha_95	hu8_nlcd2011_pct_95	hu8_roaddensity_sum_lengthm	hu8_roaddensity_density_mperha	hu8_slope_min	hu8_slope_max	hu8_slope_mean	hu8_slope_std	hu8_tri_min	hu8_tri_max	hu8_tri_mean	hu8_tri_std
HU8_10	0	100	61.6999	35.4955	14	0.0022	0.0034	0.0000	0.0000	48689.2800	11.8498	130.4100	0.0317	10.6200	0.0026	326.8800	0.0796	65.2500	0.0159	79.9200	0.0195	23353.7400	5.6837	121586.4900	29.5911	98347.2300	23.9353	99445.9500	24.2027	3305.0700	0.8044	0.3600	0.0000	0.0000	0.0000	14.0400	0.0034	626.2200	0.1524	0.0000	0.0000	179.8200	0.0438	12908.3400	3.1416	1818.9000	0.4427	6.1200	0.0015	46010.8800	11.1979	1850.4000	0.4503	783.8100	0.1908	199.8900	0.0486	40.5900	0.0099	3561.8400	0.8669	84510.0000	20.5676	80896.6800	19.6882	93061.1700	22.6488	69867.9900	17.0041	4193.0100	1.0205	8.4600	0.0021	0.0000	0.0000	23125.4100	5.6281	2772.2700	0.6747	6.1200	0.0015	46059.7500	11.2098	1850.4000	0.4503	783.8100	0.1908	199.8900	0.0486	40.5900	0.0099	3758.9400	0.9148	83389.5900	20.2949	82272.5100	20.0231	91748.7900	22.3294	65275.3800	15.8864	9850.6800	2.3974	4.5900	0.0011	0.0000	0.0000	22920.6600	5.5783	2726.8200	0.6636	6.1200	0.0015	46365.2100	11.2841	1930.4100	0.4698	820.2600	0.1996	220.6800	0.0537	46.2600	0.0113	3716.6400	0.9045	80806.0500	19.6662	90562.8600	22.0407	88823.9700	21.6175	57107.7900	13.8986	4932.6300	1.2005	8.3700	0.0020	0.0000	0.0000	32968.5300	8.0237	2572.7400	0.6261	3268380.9851	7.9544	0.0000	81.5308	4.9061	5.3631	0.0000	51.8250	0.6756	0.7664
HU8_100	0	99	46.1835	38.8473	21	0.0002	0.0056	0.0000	0.0000	8151.6600	2.1734	3046.3200	0.8122	843.8400	0.2250	1922.6700	0.5126	0.0000	0.0000	6178.5000	1.6473	756.9000	0.2018	180332.6400	48.0804	19381.5900	5.1675	17347.2300	4.6251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	101667.5100	27.1066	32447.7000	8.6512	0.0000	0.0000	405.5400	0.1081	1592.9100	0.4247	989.9100	0.2639	0.0000	0.0000	8489.7900	2.2636	22558.9500	6.0147	6385.6800	1.7026	2011.2300	0.5362	611.2800	0.1630	2440.1700	0.6506	191285.9100	51.0007	15628.0500	4.1668	16675.9200	4.4461	0.0000	0.0000	0.0000	0.0000	57161.8800	15.2405	51145.1100	13.6363	574.3800	0.1531	96.5700	0.0257	0.0000	0.0000	8502.9300	2.2671	22569.3900	6.0175	6406.6500	1.7081	2042.9100	0.5447	613.6200	0.1636	2487.4200	0.6632	191116.7100	50.9556	15588.6300	4.1562	16669.1700	4.4443	1.8900	0.0005	1.5300	0.0004	57159.4500	15.2399	51236.3700	13.6607	571.6800	0.1524	96.5700	0.0257	0.0000	0.0000	8470.6200	2.2584	22629.5100	6.0335	6442.4700	1.7177	2451.9600	0.6537	804.8700	0.2146	2536.1100	0.6762	189532.0800	50.5331	15366.3300	4.0970	16516.7100	4.4037	1011.5100	0.2697	776.7900	0.2071	56876.4900	15.1644	50983.2000	13.5932	571.4100	0.1523	94.8600	0.0253	13126607.8103	34.9981	0.0000	70.2288	8.9089	7.3121	0.0000	25.6392	1.2560	1.0613
HU8_101	0	100	38.3710	39.3700	37	0.0000	0.0076	0.0000	0.0000	8609.9400	1.7714	16164.0900	3.3256	2667.2400	0.5488	9577.3500	1.9704	0.0000	0.0000	1301.4000	0.2677	1541.7900	0.3172	201715.4700	41.5008	13746.7800	2.8283	15428.7000	3.1743	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	173034.0900	35.5999	38035.6200	7.8254	0.0000	0.0000	712.7100	0.1466	2434.1400	0.5008	1083.0600	0.2228	0.0000	0.0000	8760.5100	1.8024	37912.1400	7.8000	30158.0100	6.2047	9327.7800	1.9191	4118.1300	0.8473	535.1400	0.1101	206211.8700	42.4259	8091.0000	1.6646	9231.8400	1.8994	1612.7100	0.3318	92.0700	0.0189	97961.3100	20.1545	69367.4100	14.2716	2188.9800	0.4504	483.4800	0.0995	0.0000	0.0000	8756.0100	1.8015	39004.0200	8.0247	31103.8200	6.3993	9849.5100	2.0264	4365.0000	0.8981	537.9300	0.1107	205339.0500	42.2463	8044.6500	1.6551	9218.1600	1.8965	1612.1700	0.3317	94.3200	0.0194	96825.7800	19.9209	68675.9400	14.1293	2151.4500	0.4426	474.5700	0.0976	0.0000	0.0000	8718.6600	1.7938	41878.8900	8.6161	31048.0200	6.3878	11554.6500	2.3772	5131.7100	1.0558	699.5700	0.1439	202833.3600	41.7308	7876.6200	1.6205	9068.1300	1.8657	2353.3200	0.4842	1114.1100	0.2292	93656.6100	19.2688	67202.1900	13.8261	2405.0700	0.4948	511.4700	0.1052	19313233.5267	39.7349	0.0000	73.2243	6.5148	6.0908	0.0000	28.2478	0.9098	0.8628
HU8_102	0	100	22.7696	38.0448	49	0.0000	0.0076	0.0000	0.0000	15956.5500	2.4784	18388.5300	2.8562	3285.0900	0.5103	8236.0800	1.2793	0.0000	0.0000	852.2100	0.1324	632.9700	0.0983	158253.6600	24.5806	13189.6800	2.0487	14947.6500	2.3217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320117.9400	49.7220	84973.0500	13.1984	0.0000	0.0000	805.5900	0.1251	2546.3700	0.3955	1629.6300	0.2531	0.0000	0.0000	13282.0200	2.0630	63155.9700	9.8096	30180.6900	4.6878	11045.6100	1.7156	4652.2800	0.7226	927.4500	0.1441	152887.4100	23.7471	4641.2100	0.7209	7128.7200	1.1073	25148.6100	3.9062	1871.0100	0.2906	144300.3300	22.4133	178678.3500	27.7531	5374.6200	0.8348	540.7200	0.0840	0.0000	0.0000	13382.0100	2.0785	63698.6700	9.8939	31023.7200	4.8187	11574.9000	1.7979	4849.3800	0.7532	938.8800	0.1458	152582.6700	23.6998	4566.2400	0.7092	7092.8100	1.1017	24957.7200	3.8765	1868.5800	0.2902	143627.1300	22.3088	177842.0700	27.6232	5304.2400	0.8239	505.9800	0.0786	0.0000	0.0000	13551.0300	2.1048	67791.8700	10.5297	30594.3300	4.7520	13132.8900	2.0399	5135.9400	0.7977	1978.0200	0.3072	151411.3200	23.5178	4516.7400	0.7016	6449.2200	1.0017	22341.5100	3.4702	2214.3600	0.3439	135193.1400	20.9988	181799.1000	28.2378	6703.1100	1.0412	1002.4200	0.1557	25012490.2996	38.8504	0.0000	72.9362	5.0420	4.5740	0.0000	27.1973	0.6968	0.6483
HU8_104	0	100	23.8288	37.3261	12	0.0004	0.0048	0.0000	0.0000	1564.8300	0.6232	3946.2300	1.5716	116.1900	0.0463	2622.5100	1.0444	0.0000	0.0000	508.1400	0.2024	190.0800	0.0757	63456.0300	25.2708	4067.7300	1.6199	11681.2800	4.6520	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	140202.7200	55.8346	19146.7800	7.6250	0.0000	0.0000	270.8100	0.1078	2321.7300	0.9246	1008.6300	0.4017	0.0000	0.0000	1114.4700	0.4438	20930.0400	8.3352	8954.8200	3.5662	2056.2300	0.8189	425.7000	0.1695	589.0500	0.2346	71798.9400	28.5933	2363.2200	0.9411	2591.0100	1.0318	3311.4600	1.3188	996.2100	0.3967	54944.6400	21.8813	78094.8000	31.1006	2873.7900	1.1445	59.3100	0.0236	0.0000	0.0000	1130.9400	0.4504	21303.4500	8.4839	9428.0400	3.7546	2438.0100	0.9709	486.1800	0.1936	496.6200	0.1978	71636.3100	28.5286	2358.9900	0.9394	2570.3100	1.0236	3297.7800	1.3133	974.2500	0.3880	54584.6400	21.7379	77477.3100	30.8547	2862.0900	1.1398	58.7700	0.0234	0.0000	0.0000	1135.2600	0.4521	22896.9000	9.1185	9468.9000	3.7709	3214.3500	1.2801	752.7600	0.2998	779.3100	0.3104	69463.0800	27.6631	2273.8500	0.9055	2602.6200	1.0365	3229.3800	1.2861	1094.9400	0.4361	52866.1800	21.0535	76830.5700	30.5971	4060.9800	1.6173	434.6100	0.1731	8607669.6637	34.2798	0.0000	58.2177	5.0405	4.5309	0.0000	13.8641	0.6968	0.6312
HU8_105	0	100	60.9393	31.6386	60	0.0002	0.0172	0.0000	0.0000	2664.2700	0.7659	3537.0000	1.0168	181.8000	0.0523	1145.9700	0.3294	0.0000	0.0000	6065.3700	1.7436	2458.5300	0.7067	242482.1400	69.7056	11051.8200	3.1770	32994.7200	9.4849	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41519.7900	11.9356	2539.4400	0.7300	0.0000	0.0000	21.7800	0.0063	935.1000	0.2688	268.4700	0.0772	0.0000	0.0000	3034.5300	0.8723	16266.7800	4.6762	3622.7700	1.0414	1140.0300	0.3277	353.4300	0.1016	3897.7200	1.1205	261708.0300	75.2324	9526.7700	2.7386	5704.7400	1.6399	0.0000	0.0000	0.0000	0.0000	40352.1300	11.5999	1681.1100	0.4833	475.7400	0.1368	102.4200	0.0294	0.0000	0.0000	2888.0100	0.8302	16260.5700	4.6744	3648.5100	1.0488	1163.6100	0.3345	360.0000	0.1035	4864.5000	1.3984	260484.6600	74.8807	9463.9500	2.7206	5672.3400	1.6306	6.6600	0.0019	328.8600	0.0945	40361.1300	11.6025	1670.0400	0.4801	472.4100	0.1358	220.9500	0.0635	0.0000	0.0000	2880.2700	0.8280	15998.2200	4.5990	3694.0500	1.0619	1726.1100	0.4962	488.9700	0.1406	5340.6900	1.5353	258569.5500	74.3302	9369.0000	2.6933	5595.7500	1.6086	678.6900	0.1951	980.5500	0.2819	40233.0600	11.5657	1613.4300	0.4638	470.3400	0.1352	227.5200	0.0654	9225460.7438	26.5203	0.0000	74.4856	11.7638	7.8893	0.0000	107.3987	1.6683	1.1648
HU8_106	0	100	54.0407	35.9404	57	0.0001	0.0125	0.0000	0.0000	4161.2400	0.9124	9301.4100	2.0393	342.8100	0.0752	2873.2500	0.6300	0.0000	0.0000	3882.7800	0.8513	1247.6700	0.2736	264105.3600	57.9050	12584.7900	2.7592	33801.0300	7.4109	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	104415.5700	22.8931	15894.6300	3.4849	0.0000	0.0000	331.6500	0.0727	2363.4000	0.5182	795.5100	0.1744	0.0000	0.0000	5702.0400	1.2502	29418.9300	6.4501	11012.2200	2.4144	4798.3500	1.0520	1112.6700	0.2440	3941.4600	0.8642	283882.2300	62.2411	11195.7300	2.4547	3170.7000	0.6952	0.0000	0.0000	0.0000	0.0000	82951.7400	18.1871	17749.7100	3.8916	657.7200	0.1442	507.6000	0.1113	0.0000	0.0000	5746.4100	1.2599	29825.1000	6.5391	11360.0700	2.4907	4962.9600	1.0881	1146.9600	0.2515	4523.4000	0.9918	282995.5500	62.0467	11145.9600	2.4437	3146.8500	0.6899	42.1200	0.0092	129.1500	0.0283	82571.9400	18.1039	17363.1600	3.8069	644.1300	0.1412	497.3400	0.1090	0.0000	0.0000	5739.3000	1.2583	29799.5400	6.5335	11435.7600	2.5073	5709.2400	1.2517	1465.2000	0.3212	4775.8500	1.0471	281021.0400	61.6138	11024.5500	2.4171	3123.4500	0.6848	443.7000	0.0973	945.6300	0.2073	81825.0300	17.9401	17593.7400	3.8574	668.4300	0.1466	530.6400	0.1163	14871216.2214	32.6049	0.0000	86.0993	8.2161	6.2633	0.0000	234.1966	1.1505	0.9323
HU8_107	0	100	28.3954	38.9507	18	0.0001	0.0065	0.0000	0.0000	3871.2600	1.4008	7738.2000	2.8000	2073.3300	0.7502	3302.0100	1.1948	0.0000	0.0000	563.0400	0.2037	0.0000	0.0000	63729.5400	23.0601	999.0900	0.3615	20082.6900	7.2668	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	119600.8200	43.2768	48126.1500	17.4141	0.0000	0.0000	4490.3700	1.6248	1237.8600	0.4479	548.0100	0.1983	0.0000	0.0000	4176.2700	1.5112	17071.8300	6.1773	7968.6000	2.8834	3902.1300	1.4120	1634.1300	0.5913	704.0700	0.2548	47214.9000	17.0844	2178.0900	0.7881	10296.9900	3.7259	10574.7300	3.8264	1054.4400	0.3815	79425.2700	28.7395	73036.4400	26.4278	15624.9900	5.6538	1499.4900	0.5426	0.0000	0.0000	4145.5800	1.5001	17114.3100	6.1927	8039.3400	2.9090	3976.6500	1.4389	1685.0700	0.6097	693.4500	0.2509	47225.2500	17.0882	2183.0400	0.7899	10284.3900	3.7213	10432.2600	3.7748	1043.5500	0.3776	79411.9500	28.7347	73029.9600	26.4254	15568.7400	5.6335	1528.8300	0.5532	0.0000	0.0000	4199.8500	1.5197	17215.5600	6.2293	8228.3400	2.9774	4546.8900	1.6453	1819.6200	0.6584	742.5000	0.2687	45825.5700	16.5817	2483.1000	0.8985	8567.1900	3.1000	8887.0500	3.2157	870.5700	0.3150	77006.8800	27.8645	72519.3000	26.2407	19316.3400	6.9895	4133.6100	1.4957	7684199.0571	27.8052	0.0000	60.9686	3.1886	4.1293	0.0000	14.5811	0.4413	0.5888
HU8_108	0	100	32.5862	40.9878	59	0.0001	0.0066	0.0000	0.0000	56135.5200	6.2644	20716.1100	2.3118	5474.3400	0.6109	7537.3200	0.8411	0.0000	0.0000	621.4500	0.0694	0.0000	0.0000	254509.6500	28.4017	6170.7600	0.6886	83572.3800	9.3262	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	325400.1300	36.3127	111605.4000	12.4545	0.0000	0.0000	10907.7300	1.2172	11237.2200	1.2540	2218.0500	0.2475	0.0000	0.0000	57382.1100	6.4035	46201.6800	5.1558	19871.8200	2.2176	7641.1800	0.8527	2963.0700	0.3307	1288.8000	0.1438	163238.1300	18.2164	13517.1000	1.5084	48812.3100	5.4472	49212.7200	5.4918	4149.0000	0.4630	229283.1000	25.5866	190675.4400	21.2782	55965.0600	6.2454	5904.5400	0.6589	0.0000	0.0000	57222.0900	6.3856	46587.0600	5.1988	20258.4600	2.2607	7856.4600	0.8767	3051.9900	0.3406	1346.0400	0.1502	162944.9100	18.1837	13494.6900	1.5059	48749.2200	5.4401	48951.9900	5.4627	4137.4800	0.4617	228990.2400	25.5539	190432.2600	21.2511	55811.1600	6.2282	6272.0100	0.6999	0.0000	0.0000	57321.4500	6.3967	47092.5000	5.2552	20335.7700	2.2693	9003.6000	1.0047	3480.5700	0.3884	1744.6500	0.1947	168935.2200	18.8521	15176.9700	1.6937	45732.0600	5.1034	42086.6100	4.6966	3613.0500	0.4032	226702.5300	25.2986	191064.2400	21.3216	54316.5300	6.0614	9500.3100	1.0602	22641408.4989	25.2663	0.0000	78.0107	3.8743	4.6728	0.0000	38.4089	0.5355	0.6673
HU8_109	0	100	54.1184	41.5350	75	0.0001	0.0144	0.0000	0.0000	7418.9700	1.4291	2422.6200	0.4667	50.5800	0.0097	2008.9800	0.3870	0.0000	0.0000	49.8600	0.0096	492.1200	0.0948	249951.9600	48.1474	38713.4100	7.4572	53341.6500	10.2750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134664.7500	25.9400	26006.8500	5.0096	0.0000	0.0000	130.7700	0.0252	2243.4300	0.4321	1643.0400	0.3165	0.0000	0.0000	6237.2700	1.2015	22293.3600	4.2943	2409.8400	0.4642	724.9500	0.1396	173.6100	0.0334	476.0100	0.0917	189493.6500	36.5015	32660.0100	6.2912	82979.6400	15.9841	7093.5300	1.3664	840.7800	0.1620	87350.4900	16.8260	81367.2000	15.6735	1552.2300	0.2990	3486.4200	0.6716	0.0000	0.0000	6324.3000	1.2182	22335.5700	4.3024	2436.9300	0.4694	728.5500	0.1403	173.6100	0.0334	549.0000	0.1058	189726.1200	36.5463	32521.6800	6.2645	82864.9800	15.9620	6898.5900	1.3289	856.4400	0.1650	87335.9100	16.8232	81365.4900	15.6732	1500.1200	0.2890	3521.7000	0.6784	0.0000	0.0000	6205.9500	1.1954	22386.1500	4.3122	2395.1700	0.4614	887.3100	0.1709	204.3900	0.0394	1458.3600	0.2809	182662.6500	35.1857	30495.0600	5.8742	78968.9700	15.2115	7421.1300	1.4295	1202.5800	0.2316	85441.5900	16.4583	80426.6100	15.4923	13308.9300	2.5637	5674.1400	1.0930	15618231.2997	30.0846	0.0000	70.6978	8.1293	6.3365	0.0000	46.3385	1.1372	0.9221
