buffer500m_nhdid	lagoslakeid	buffer500m_ha
50524769	1	361.3549
123632625	2	201.4869
50524793	3	337.5489
135695054	4	146.4613
135693974	5	174.4801
122373608	6	293.6946
135693476	7	201.0678
136018275	8	204.9161
132761873	9	184.3810
132761914	10	430.2138
136659632	11	228.5639
129738545	12	273.8175
136679045	13	160.1319
129729046	14	236.4819
135694272	15	216.2057
136676638	16	307.4240
136693212	17	410.1914
127683885	18	215.7767
136902243	19	221.8928
127683435	20	201.5257
129734841	21	545.1257
136666927	22	286.5013
135913037	23	248.0943
136672041	24	182.3998
135695000	25	232.5769
136683163	26	468.5536
122985937	27	370.9306
135695498	28	185.6493
122985912	29	420.1512
136665929	30	258.4710
136864159	31	195.2938
136694129	32	602.8069
135913232	33	218.3240
127683661	34	360.9540
40652367	35	202.4056
122985762	36	291.0227
141008126	37	464.9341
136017887	38	267.7973
127684104	39	418.1889
141008512	40	158.2817
135697729	41	403.1077
122985885	42	157.2571
135694639	44	292.0372
136902475	45	178.4262
123913052	46	466.6577
136018516	47	466.5886
123912469	48	718.5176
40653025	49	201.6833
141008196	50	329.5201
123632543	51	223.1317
161140894	52	333.0930
61786091	53	397.2525
26065176	54	227.2086
26166122	55	142.7330
{C42D8CDE-FFAD-400B-997F-0749B1C8BD77}	56	746.5757
25618884	57	168.1240
f1b0d735-dca7-4774-80dc-619c8457210c	59	242.1940
82984997	60	149.0495
87818203	61	322.4346
120018742	62	988.9919
81002293	63	322.1239
34243470	64	409.1622
155351665	65	194.4162
120019842	67	282.7267
86444959	68	138.4170
90346628	69	180.5842
91679461	70	150.4253
132542847	71	278.4733
91596003	72	185.0691
120019354	73	12595.8951
32732535	74	518.6003
91596049	75	227.9077
114544749	78	120.7481
45361929	79	405.9311
126591241	80	431.6503
90d6dc3e-90b9-4473-9c29-f274aa20c5ed	81	1099.4956
86274931	82	172.5261
107515380	83	155.3253
120020226	84	198.7731
70332851	85	132.6127
91691879	87	192.6284
80993709	88	385.5727
114545471	90	236.7151
80997075	93	234.4169
120020695	94	468.1363
86367973	95	330.7352
45722558	96	149.0073
{50AC4529-7A81-4DC9-80E1-7E15AEFC5CB1}	97	311.9610
114542979	98	145.6446
{BE3BAFBF-BDF5-4BDC-8EC0-D6162002F029}	99	150.2546
86444893	100	136.3714
114544991	101	198.2510
123271118	102	165.9118
82959101	103	276.3700
120019079	104	6799.6059
c7cb418f-e29c-4287-954c-e3a5a645c55b	105	304.4420
120020322	106	818.9189
80996653	107	468.0401
111727691	108	131.6618
91594375	109	214.8767
120018206	110	946.0085
120018791	111	279.4469
828e6a9e-108b-45d5-a314-e24080a186b8	113	130.5785
81002541	114	125.0345
139269049	115	130.1909
74928681	116	135.2122
{7B77ECA9-58EF-442F-B4B7-B6B41E44C67C}	117	136.6303
120018793	118	186.4005
114544937	119	175.6648
59811853	120	175.5989
87819183	121	144.8331
107075016	122	424.2540
155442694	123	173.8402
{60970A96-DDEA-4776-AFA9-13E6158E3D1F}	124	137.4786
{AEAC2200-91F2-465E-AB75-C5FC64C8BE4A}	125	117.8996
91691895	126	198.1706
107515236	127	219.2875
120020083	128	551.8193
3f7b699a-e34c-49b7-9196-48e950ace682	130	1036.1092
120019638	131	1099.5305
{A8C1F814-C70D-4090-B560-3EFE84ABB2DE}	132	142.5794
{59166601-950E-4D38-85E8-A64D7251D7FF}	133	166.4515
{394F7D66-29DA-4B88-B51F-58DC0D3F709E}	134	131.2672
{26FD46E6-DE81-4EFA-BC0D-784B5986876F}	135	123.8544
{07A5A0F1-7130-44CD-A09D-32C5C3EFA895}	136	173.3986
105953781	137	254.9177
37647809	139	139.9450
152517543	140	295.5270
120020683	141	330.1259
120020309	142	281.2766
126609214	143	265.9289
80998553	144	303.3278
90770165	146	164.1815
{22812CD2-672E-48D1-A2F8-CE59E062CD6A}	147	148.6120
276834aa-394a-4ebd-9193-26d17b29287c	148	1712.7762
106373192	149	128.6951
90385400	150	983.2547
81000911	151	519.2770
37649241	152	248.8709
151965270	154	130.7274
106373244	155	272.2352
120018423	156	357.6041
59720819	157	157.0184
{8B5D95FE-E324-4776-AE78-F3C5E9EB5D82}	159	138.0098
45365725	160	220.4619
{2C7F28DA-81EB-47D8-B11C-624EB71DB26C}	161	142.4649
59746595	162	157.1060
34131145	163	185.1586
106373218	164	134.8955
86273039	165	261.5436
120019784	166	843.8771
107074382	167	151.1629
80005205	168	247.3878
80997549	169	426.8065
{653D57F3-E56D-4E03-B951-DCA298101043}	170	142.6141
114543923	171	468.6484
47722673	172	185.8717
34132253	173	175.4210
87818591	174	397.9735
159238674	176	386.0987
70336191	178	186.2122
120018154	179	602.9689
37649201	180	195.7010
{30AC8278-9A0D-4B93-8E10-CDE4988B4A35}	181	149.5384
105954453	182	307.0166
114336711	183	198.9847
120020657	184	140.8992
120019208	185	1105.2710
90770365	186	152.4222
120019126	187	471.0658
120018087	188	258.3833
120018182	189	244.1853
34130818	191	169.6976
69545807	192	185.7813
{BDDF96A2-F5FD-4B84-A739-D41D048AA07E}	193	263.8189
{666B4D30-DA86-48CB-91BE-38BC44B803C6}	194	146.7540
{91D0DC75-43C5-41E1-B611-BA7F763FFA26}	195	209.3253
45379676	196	252.1804
34126002	197	169.0720
{EAE5F3DB-02B9-4384-B46B-6786E70F4E8B}	198	211.5434
