hu4_zoneid	hu4_baseflowindex_min	hu4_baseflowindex_max	hu4_baseflowindex_mean	hu4_baseflowindex_std	hu4_dep_no3_1985_min	hu4_dep_no3_1985_max	hu4_dep_no3_1985_mean	hu4_dep_no3_1985_std	hu4_dep_no3_1990_min	hu4_dep_no3_1990_max	hu4_dep_no3_1990_mean	hu4_dep_no3_1990_std	hu4_dep_no3_1995_min	hu4_dep_no3_1995_max	hu4_dep_no3_1995_mean	hu4_dep_no3_1995_std	hu4_dep_no3_2000_min	hu4_dep_no3_2000_max	hu4_dep_no3_2000_mean	hu4_dep_no3_2000_std	hu4_dep_no3_2005_min	hu4_dep_no3_2005_max	hu4_dep_no3_2005_mean	hu4_dep_no3_2005_std	hu4_dep_no3_2010_min	hu4_dep_no3_2010_max	hu4_dep_no3_2010_mean	hu4_dep_no3_2010_std	hu4_dep_so4_1985_min	hu4_dep_so4_1985_max	hu4_dep_so4_1985_mean	hu4_dep_so4_1985_std	hu4_dep_so4_1990_min	hu4_dep_so4_1990_max	hu4_dep_so4_1990_mean	hu4_dep_so4_1990_std	hu4_dep_so4_1995_min	hu4_dep_so4_1995_max	hu4_dep_so4_1995_mean	hu4_dep_so4_1995_std	hu4_dep_so4_2000_min	hu4_dep_so4_2000_max	hu4_dep_so4_2000_mean	hu4_dep_so4_2000_std	hu4_dep_so4_2005_min	hu4_dep_so4_2005_max	hu4_dep_so4_2005_mean	hu4_dep_so4_2005_std	hu4_dep_so4_2010_min	hu4_dep_so4_2010_max	hu4_dep_so4_2010_mean	hu4_dep_so4_2010_std	hu4_dep_totaln_1985_min	hu4_dep_totaln_1985_max	hu4_dep_totaln_1985_mean	hu4_dep_totaln_1985_std	hu4_dep_totaln_1990_min	hu4_dep_totaln_1990_max	hu4_dep_totaln_1990_mean	hu4_dep_totaln_1990_std	hu4_dep_totaln_1995_min	hu4_dep_totaln_1995_max	hu4_dep_totaln_1995_mean	hu4_dep_totaln_1995_std	hu4_dep_totaln_2000_min	hu4_dep_totaln_2000_max	hu4_dep_totaln_2000_mean	hu4_dep_totaln_2000_std	hu4_dep_totaln_2005_min	hu4_dep_totaln_2005_max	hu4_dep_totaln_2005_mean	hu4_dep_totaln_2005_std	hu4_dep_totaln_2010_min	hu4_dep_totaln_2010_max	hu4_dep_totaln_2010_mean	hu4_dep_totaln_2010_std	hu4_groundwaterrecharge_min	hu4_groundwaterrecharge_max	hu4_groundwaterrecharge_mean	hu4_groundwaterrecharge_std	hu4_prism_ppt_30yr_normal_800mm2_annual_min	hu4_prism_ppt_30yr_normal_800mm2_annual_max	hu4_prism_ppt_30yr_normal_800mm2_annual_mean	hu4_prism_ppt_30yr_normal_800mm2_annual_std	hu4_prism_tmax_30yr_normal_800mm2_annual_min	hu4_prism_tmax_30yr_normal_800mm2_annual_max	hu4_prism_tmax_30yr_normal_800mm2_annual_mean	hu4_prism_tmax_30yr_normal_800mm2_annual_std	hu4_prism_tmean_30yr_normal_800mm2_annual_min	hu4_prism_tmean_30yr_normal_800mm2_annual_max	hu4_prism_tmean_30yr_normal_800mm2_annual_mean	hu4_prism_tmean_30yr_normal_800mm2_annual_std	hu4_prism_tmin_30yr_normal_800mm2_annual_min	hu4_prism_tmin_30yr_normal_800mm2_annual_max	hu4_prism_tmin_30yr_normal_800mm2_annual_mean	hu4_prism_tmin_30yr_normal_800mm2_annual_std	hu4_runoff_min	hu4_runoff_max	hu4_runoff_mean	hu4_runoff_std	hu4_surficialgeology_alluv_ha	hu4_surficialgeology_alluv_pct	hu4_surficialgeology_beach_ha	hu4_surficialgeology_beach_pct	hu4_surficialgeology_colluv_ha	hu4_surficialgeology_colluv_pct	hu4_surficialgeology_dec_resid_ha	hu4_surficialgeology_dec_resid_pct	hu4_surficialgeology_eolian_ha	hu4_surficialgeology_eolian_pct	hu4_surficialgeology_gf_out_ha	hu4_surficialgeology_gf_out_pct	hu4_surficialgeology_grus_ha	hu4_surficialgeology_grus_pct	hu4_surficialgeology_ice_ha	hu4_surficialgeology_ice_pct	hu4_surficialgeology_lac_ha	hu4_surficialgeology_lac_pct	hu4_surficialgeology_lac_clay_ha	hu4_surficialgeology_lac_clay_pct	hu4_surficialgeology_marine_ha	hu4_surficialgeology_marine_pct	hu4_surficialgeology_open_water_ha	hu4_surficialgeology_open_water_pct	hu4_surficialgeology_other_ha	hu4_surficialgeology_other_pct	hu4_surficialgeology_peat_mrsh_ha	hu4_surficialgeology_peat_mrsh_pct	hu4_surficialgeology_saprol_ha	hu4_surficialgeology_saprol_pct	hu4_surficialgeology_solif_ha	hu4_surficialgeology_solif_pct	hu4_surficialgeology_solut_ha	hu4_surficialgeology_solut_pct	hu4_surficialgeology_till_clay_ha	hu4_surficialgeology_till_clay_pct	hu4_surficialgeology_till_loam_ha	hu4_surficialgeology_till_loam_pct	hu4_surficialgeology_till_oth_ha	hu4_surficialgeology_till_oth_pct	hu4_surficialgeology_till_sand_ha	hu4_surficialgeology_till_sand_pct
1	HU4_1	42	59	51.5325	2.4111	7.2171	10.0448	7.9366	0.3868	8.6804	13.1927	10.7976	0.7806	6.6534	10.1429	8.0398	0.5229	6.4171	10.4829	7.8802	0.6296	7.0904	9.8456	8.0816	0.3784	3.3496	4.9021	4.049	0.3036	11.9833	16.0905	13.1431	0.5145	12.3675	18.6718	15.1134	0.9482	6.4142	10.4642	8.1355	0.757	7.4226	11.346	8.8828	0.5753	8.5467	12.2231	9.8023	0.5345	3.6627	5.2713	4.4256	0.3173	2.53	3.4999	2.7768	0.1299	3.0141	4.586	3.7653	0.2841	2.2133	3.4634	2.7209	0.2062	2.2311	3.607	2.7261	0.2107	2.6068	3.7345	3.032	0.1428	1.4791	2.1268	1.7825	0.1215	242	339	295.6302	20.7658	930.1087	1328.1416	1058.3433	54.221	6.7209	10.9734	9.2418	0.7933	2.1422	5.2461	3.6599	0.5437	-3.8013	0.6269	-1.927	0.6255	21.0837	25.088	22.633	0.9169	17434.9435	0.9239	0	0	0	0	0	0	0	0	14117.5255	0.7481	0	0	15736.1145	0.8339	0	0	0	0	0	0	23905.4289	1.2667	0	0	22185.7613	1.1756	0	0	0	0	0	0	0	0	1129645.9141	59.8595	0	0	664135.267	35.1923
2	HU4_10	48	74	57.049	4.0159	9.5538	21.1791	15.529	2.233	8.8979	19.2796	14.4932	1.9154	10.3853	15.2532	13.2343	0.8447	10.1782	17.5296	14.5789	1.1128	7.017	11.7723	10.1629	0.7365	5.7397	8.3353	7.4713	0.3848	19.4469	31.4412	24.9441	2.2012	14.7608	27.3689	21.3233	2.0659	11.8253	16.5769	14.7564	0.7934	13.0596	20.5717	17.2807	1.1491	9.8772	16.279	13.9368	0.944	6.1261	8.6717	7.7196	0.375	3.2747	6.8929	5.1007	0.6749	2.9317	6.5915	4.9128	0.6907	3.4974	5.3774	4.6155	0.3357	3.2974	6.0675	4.9294	0.4318	2.5519	4.2882	3.7002	0.2756	2.4031	3.5232	3.1098	0.1608	274	519	353.7097	47.9564	1022.5266	1330.2994	1241.9529	44.2587	12.6417	15.8957	15.0824	0.51	8.4869	11.1093	10.0176	0.4391	3.1058	7.4924	4.9478	0.9516	19.3483	28.9482	24.672	2.4645	0	0	7448.9323	0.6779	0	0	0	0	3127.0154	0.2846	158842.8942	14.4562	2776.7715	0.2527	462989.6389	42.1363	0	0	21703.9924	1.9753	30414.9168	2.768	6069.0666	0.5523	3540.8298	0.3222	5046.6658	0.4593	0	0	0	0	0	0	196.8244	0.0179	0	0	0	0	396633.4935	36.0973
3	HU4_11	42	66	49.7178	3.5251	15.5222	22.8936	19.6234	1.3634	15.0451	23.5643	19.2	1.7206	11.7399	21.1041	14.9708	1.2523	13.4498	21.4644	17.225	1.8814	8.5671	13.9679	10.2558	0.7943	6.1472	8.7686	7.435	0.5119	22.2013	32.8672	28.201	2.106	21.3824	34.9056	27.4619	2.8252	13.0917	21.3143	16.0964	1.1944	16.0044	24.245	20.0425	2.0886	11.6167	18.2092	14.5038	1.2622	6.5277	9.2188	7.7409	0.5622	5.0519	7.4216	6.3437	0.4372	5.1415	8.0954	6.5764	0.5834	4.0631	7.4024	5.2814	0.4471	4.7788	7.3407	5.9535	0.6167	2.9983	5.0777	3.727	0.326	2.6163	3.7974	3.1596	0.2392	199	480	316.862	39.8977	1062.9802	1418.8099	1247.0477	50.3022	11.2008	16.6757	14.9618	1.0141	6.1431	12.1086	9.3886	1.0775	0.0567	7.7083	3.8104	1.2511	18.569	31.3846	25.1198	2.0734	3196.9274	0.272	0	0	0	0	0	0	0	0	17239.5036	1.4668	0	0	165055.2573	14.0439	0	0	7052.3755	0.6001	0	0	3350.9278	0.2851	0	0	0	0	0	0	0	0	0	0	0	0	56872.7865	4.8391	0	0	922513.5791	78.493
4	HU4_12	31	64	46.7442	5.3276	8.5831	31.3832	17.2809	3.2954	13.8137	34.5163	20.0312	3.1036	10.0556	27.6269	15.1468	2.3427	13.9778	30.2038	19.7096	2.2431	7.2041	18.8309	10.8957	1.3088	5.3355	10.8639	7.1253	0.8675	12.235	41.1774	24.1058	4.49	18.8393	45.0246	27.5556	3.9068	10.4582	28.0266	16.0895	2.2992	13.9172	34.0227	22.1511	3.1325	9.9544	23.4605	14.076	1.8015	5.7578	11.3233	7.558	0.8445	2.8045	10.9892	5.7399	1.1346	4.7135	12.2672	6.8876	1.1006	3.5875	9.5738	5.389	0.851	4.8427	10.5271	6.8639	0.8527	2.7717	6.7843	4.1132	0.5175	2.3775	4.5189	3.1182	0.3381	146	545	282.0482	78.0705	922.6886	1881.0189	1174.4487	130.3804	6.9516	16.9909	13.2747	1.7075	1.9304	11.5673	7.5265	1.6641	-3.0968	6.1861	1.7732	1.683	17.56	39.9851	23.6167	4.5299	21381.3862	0.6518	0	0	0	0	0	0	30879.4288	0.9413	19128.2161	0.5831	0	0	368679.6634	11.2386	250547.4167	7.6375	56657.5242	1.7271	0	0	34571.2312	1.0538	0	0	0	0	0	0	0	0	0	0	43633.5001	1.3301	1578981.6252	48.1327	0	0	876017.0202	26.704
5	HU4_13	25	89	50.2889	16.0811	15.6669	24.2653	19.0625	1.55	14.7466	25.2829	20.768	1.7801	10.6405	17.9298	13.9954	1.2414	14.128	20.5189	17.2916	1.4087	7.631	13.1286	10.6187	0.9274	6.3335	10.1018	8.3762	0.8128	22.4742	35.0917	27.3807	2.1183	21.1642	36.1824	30.4775	2.7244	11.9557	19.6403	15.5985	1.3161	16.5259	23.836	20.7287	1.43	12.9931	18.7413	15.5978	0.8852	7.0937	10.6241	9.1015	0.7401	5.124	7.923	6.2301	0.4893	5.0401	8.4888	7.0734	0.5821	3.6728	6.2538	4.8815	0.4371	4.8322	7.0408	5.9587	0.486	2.6279	4.9784	3.9876	0.4574	2.8685	4.4567	3.704	0.3189	68	514	265.1429	98.1476	1043.8734	1351.6844	1222.8021	42.9777	13.3689	18.0611	16.2889	0.8698	8.4979	12.9625	11.2828	0.8585	2.2921	8.858	6.2717	1.3356	5.4998	28.8475	21.0449	5.9524	53956.1968	4.2482	18994.3341	1.4955	20645.6678	1.6255	255813.2666	20.1414	9392.842	0.7395	199105.6933	15.6765	0	0	118190.4953	9.3057	12535.4838	0.987	8730.4886	0.6874	0	0	25888.2987	2.0383	389.2403	0.0306	25949.2513	2.0431	0	0	0	0	0	0	52053.1783	4.0984	178840.7394	14.081	0	0	289604.2023	22.8019
6	HU4_16	26	78	52.1144	9.8105	12.655	26.8946	18.194	1.8389	13.8572	26.8555	19.0137	2.4296	11.327	19.8423	14.6478	0.9656	9.67	24.3001	17.0467	3.0009	8.3258	16.0987	11.4018	1.1169	6.1895	11.9865	8.5423	0.8533	19.244	38.753	27.3289	2.7318	21.0022	38.7284	27.7905	3.218	12.718	21.6115	16.5593	1.0823	14.8287	30.9534	21.6789	2.7551	11.7282	23.5152	16.4241	1.9715	7.1401	13.4072	9.9727	1.2364	4.2236	8.9056	6.0967	0.6261	4.8628	9.155	6.5568	0.7769	4.1137	7.1914	5.2216	0.3267	3.1126	8.3202	5.8975	1.0775	3.2259	6.6265	4.708	0.6817	2.8663	6.2813	4.0876	0.6059	139	516	300.0688	56.5905	720.1859	1772.7804	1185.8311	69.7235	9.0684	18.7337	16.0499	2.0281	4.3301	13.5662	10.4801	2.2028	-1.3464	9.7297	4.9052	2.4602	11.5623	41.4984	22.7675	3.3134	318326.1818	8.6112	15124.6013	0.4091	211520.3133	5.7219	1254278.1597	33.93	5682.2676	0.1537	3144.3009	0.0851	0	0	15533.5572	0.4202	0	0	0	0	26087.4895	0.7057	23141.2394	0.626	0	0	164894.455	4.4606	204259.7215	5.5255	0	0	135720.2666	3.6714	22364.3578	0.605	1269953.3304	34.354	0	0	26638.1393	0.7206
7	HU4_17	38	73	54.5482	5.6163	12.6578	35.5743	20.9556	4.7427	15.6378	36.9992	24.0515	4.4343	9.5715	28.893	16.0919	4.2128	13.7645	33.1143	20.8207	4.1175	8.1062	17.2288	11.8809	1.937	6.244	9.2415	7.7257	0.541	19.1664	45.2247	28.8718	4.974	24.4183	46.2407	33.083	4.1379	11.789	28.3837	17.3566	3.4016	17.2893	34.2071	24.3609	2.9755	11.2139	21.3724	16.7706	2.0611	7.3982	12.3482	9.8249	0.8198	4.4729	12.5788	7.4642	1.6442	5.5801	13.157	8.6725	1.55	3.5196	10.6747	5.983	1.5396	4.8885	12.0796	7.8654	1.3824	3.227	6.8408	5.0121	0.7046	2.9554	5.1893	4.0113	0.3779	114	529	263.382	82.5675	804.0353	1546.6267	1037.0718	159.0458	10.4103	15.3799	13.4039	0.8794	4.5749	9.8225	8.1667	0.9791	-1.4109	4.8002	2.9245	1.1385	9.5302	36.7892	19.1525	5.9737	1647.7485	0.094	0	0	0	0	0	0	2401.6571	0.137	57320.2355	3.2697	0	0	111172.7156	6.3416	160894.4456	9.1779	238617.906	13.6115	0	0	75286.1595	4.2946	0	0	26498.1201	1.5115	0	0	0	0	0	0	63649.6556	3.6308	1015569.1164	57.9313	0	0	0	0
8	HU4_18	31	67	45.1194	6.6443	9.2244	24.6625	17.3366	2.0893	12.862	27.7648	19.8869	2.335	8.2448	19.4442	14.1671	1.4388	12.725	25.5845	17.6662	2.18	7.2174	14.7885	11.0915	1.2411	6.1591	11.0528	7.9464	0.7506	14.79	38.2571	26.4896	3.1839	20.6377	42.6418	30.1877	3.4544	10.8582	23.0325	16.7551	1.6923	15.7134	31.3942	22.6759	2.2752	10.6421	23.7644	15.4092	2.2383	7.0056	12.5249	9.7325	1.0563	3.2575	8.3368	5.9012	0.695	4.5475	9.7921	6.972	0.8025	3.0288	6.7684	5.0526	0.4858	4.2984	9.1149	6.342	0.8279	2.7965	7.508	4.4869	0.8131	2.8059	6.776	3.8641	0.6846	110	353	228.6092	46.0246	796.883	1413.9147	1072.6206	81.4126	11.2402	18.8897	14.4848	1.4738	5.9048	13.1645	8.7935	1.4377	-0.4372	7.6107	3.0971	1.4823	10.1609	26.1521	20.0049	2.6888	114717.1496	1.6107	0	0	1257528.5477	17.6564	1155546.927	16.2245	0	0	31561.8695	0.4431	0	0	152504.8082	2.1413	2136.8419	0.03	0	0	0	0	22414.5333	0.3147	0	0	1680.2479	0.0236	266038.9928	3.7353	849755.725	11.9311	406817.6794	5.712	43726.0409	0.6139	2817783.1586	39.5633	0	0	0	0
9	HU4_2	42	59	50.2865	3.0183	7.2118	14.7786	8.8581	0.8204	10.8373	19.3045	12.1482	0.6997	7.4316	15.2738	8.6481	0.7095	7.5828	13.9866	9.0602	0.6896	6.4175	12.8781	8.1191	0.7515	4.0299	6.291	4.7028	0.3988	11.6944	23.9541	14.4099	1.3117	13.882	25.9317	16.5739	1.166	7.9415	16.2986	9.6622	1.0223	8.1441	15.4621	10.206	0.9693	8.8225	16.7262	10.6955	0.9606	4.3679	7.1841	5.2121	0.5415	2.5143	5.148	3.0616	0.2789	3.7896	6.8281	4.2741	0.2546	2.586	5.2489	2.981	0.2452	2.6067	4.8023	3.1001	0.2274	2.2776	4.7776	2.9986	0.3034	1.7343	2.7074	2.0056	0.1534	261	422	331.6052	35.9997	1038.0355	1992.2411	1130.3441	66.1346	5.4748	12.6887	10.7534	1.1761	0.5004	7.4738	4.9599	1.0585	-4.5559	2.704	-0.8386	1.0654	21.8981	31.9328	26.0229	2.3009	0	0	0	0	0	0	0	0	0	0	4510.0515	0.2027	0	0	2568.196	0.1154	0	0	6869.7782	0.3088	396475.9776	17.8226	57969.2499	2.6059	0	0	3174.2256	0.1427	0	0	0	0	0	0	0	0	830220.6467	37.3206	0	0	922778.4267	41.4813
10	HU4_20	29	64	43.6993	6.9672	12.9832	26.8577	16.5435	1.9316	10.0038	23.9692	15.5539	2.1323	11.8145	21.8907	14.0666	1.3452	9.1956	18.6295	13.9862	1.7528	6.1318	13.7781	9.1014	1.7733	4.4728	11.9071	6.8471	1.1817	20.7681	52.0908	27.3469	4.4025	17.3475	36.8838	24.989	2.8624	14.3082	25.939	17.1916	1.6328	12.8883	25.9171	19.1592	2.2565	9.8216	23.4706	14.5733	2.9599	5.1299	13.5072	7.8731	1.3018	4.3506	8.9904	5.5577	0.6589	3.7747	8.4444	5.5692	0.7058	4.3234	7.9682	5.0956	0.4816	3.4584	7.144	5.1708	0.6732	2.51	6.2738	3.8089	0.8615	2.0076	5.6686	3.1676	0.7016	106	305	178.2885	42.4374	886.976	1440.3684	1029.6499	73.5924	12.3879	18.8779	17.0644	1.2192	7.1944	12.6808	11.0081	1.0332	1.5555	7.319	4.9468	1.0069	11.4854	29.6639	16.3641	3.9333	24238.6933	1.6151	0	0	1008674.3187	67.2101	119328.3347	7.9511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118413.0013	7.8901	0	0	230123.0148	15.3336	0	0	0	0	0	0	0	0
