name	name_type	name_resolved	authority_system	authority_id
Nebrioporus baeticus	scientific	Nebrioporus baeticus	ITIS	813240
Nebrioporus ceresyi	scientific	Nebrioporus ceresyi	ITIS	813243
Nebrioporus nemethi	scientific	Nebrioporus nemethi	ITIS	813248
Ochthebius glaber	scientific	Ochthebius glaber	ITIS	816426
Ochthebius notabilis	scientific	Ochthebius notabilis	ITIS	816490
Cyclamen balearicum	scientific	Cyclamen balearicum	ITIS	836248
Pinus nigra	scientific	Pinus nigra	ITIS	183364
Myrtus communis	scientific	Myrtus communis	ITIS	506164
Pinus halepensis	scientific	Pinus halepensis	ITIS	506601
Bromus hordeaceus	scientific	Bromus hordeaceus	ITIS	501070
Phlomis crinita subsp. Crinita	scientific	Phlomis crinita crinita	GBIF Backbone Taxonomy	7307300
Phlomis crinita subsp. Malacitana	scientific	Phlomis crinita malacitana	GBIF Backbone Taxonomy	3888203
Phlomis lychnitis	scientific	Phlomis lychnitis	GBIF Backbone Taxonomy	3887383
Chioglossa lusitanica	scientific	Chioglossa lusitanica	ITIS	668361
Dolichopoda schiavazzii schiavazzii	scientific	Dolichopoda schiavazzii schiavazzii	GBIF Backbone Taxonomy	7044352
Bactrocera oleae	scientific	Bactrocera oleae	ITIS	673027
Cupressus sempervirens	scientific	Cupressus sempervirens	ITIS	183456
Lolium perenne	scientific	Lolium perenne	ITIS	40893
Lolium rigidum	scientific	Lolium rigidum	ITIS	40897
Cupressus atlantica	scientific	Cupressus atlantica	ITIS	822614
Olea europaea	scientific	Olea europaea	ITIS	32990
Androctonus australis	scientific	Androctonus australis	GBIF Backbone Taxonomy	6894141
Buthus occitanus	scientific	Buthus occitanus	GBIF Backbone Taxonomy	4553865
Solatopupa similis	scientific	Solatopupa similis	GBIF Backbone Taxonomy	4566708
Juniperus phoenicea	scientific	Juniperus phoenicea	ITIS	822606
Pinus leucodermis	scientific	Pinus leucodermis	ITIS	822555
Cedrus libani	scientific	Cedrus libani	ITIS	183406
Larinus cynarae	scientific	Larinus cynarae	GBIF Backbone Taxonomy	1183746
Strix aluco	scientific	Strix aluco	ITIS	555428
Pinus brutia	scientific	Pinus brutia	ITIS	507507
Pinus pinaster	scientific	Pinus pinaster	ITIS	506603
Sesamia nonagrioides	scientific	Sesamia nonagrioides	GBIF Backbone Taxonomy	1762383
Podarcis vaucheri	scientific	Podarcis vaucheri	GBIF Backbone Taxonomy	2469139
Bombina pachypus	scientific	Bombina pachypus	ITIS	661631
Hyla intermedia	scientific	Hyla intermedia	ITIS	662524
Rana italica	scientific	Rana italica	ITIS	665338
Podarcis tiliguerta	scientific	Podarcis tiliguerta	GBIF Backbone Taxonomy	2469126
Androcymbium gramineum	scientific	Androcymbium gramineum	GBIF Backbone Taxonomy	2740584
Cedrus atlantica	scientific	Cedrus atlantica	GBIF Backbone Taxonomy	5284702
Colias alfacariensis	scientific	Colias alfacariensis	GBIF Backbone Taxonomy	8203812
Carpinus orientalis	scientific	Carpinus orientalis	GBIF Backbone Taxonomy	2875780
