name	name_type	name_resolved	authority_system	authority_id
Achyrachaena mollis	scientific	Achyrachaena mollis	ITIS	36451
Aira  caryophyllea 	scientific	Aira caryophyllea	ITIS	41376
Alopecurus carolinianus 	scientific	Alopecurus carolinianus	ITIS	40440
Anagallis  arvensis	scientific	Anagallis arvensis	ITIS	24043
Astragalus  sp.	scientific	Astragalus	ITIS	25392
Avena  fatua	scientific	Avena fatua	ITIS	41458
Bromus diandrus 	scientific	Bromus diandrus	ITIS	40498
Brodiaea elegans	scientific	Brodiaea elegans	ITIS	42805
Bromus hordeaceus 	scientific	Bromus hordeaceus	ITIS	501070
Briza  minor 	scientific	Briza minor	ITIS	41531
Brassica rapa	scientific	Brassica rapa	ITIS	23063
Castilleja attenuata 	scientific	Castilleja attenuata	ITIS	506876
Calandrinia ciliata 	scientific	Calandrinia ciliata	ITIS	20464
Callitriche  sp.	scientific	Callitriche	ITIS	32050
Cerastium  glomeratum	scientific	Cerastium glomeratum	ITIS	19955
Centunculus  minimus	scientific	Centunculus minimus	ITIS	24046
Centaurea solstitialis	scientific	Centaurea solstitialis	ITIS	36972
Cicendia quadrangularis	scientific	Cicendia quadrangularis	ITIS	30049
Cirsium vulgare	scientific	Cirsium vulgare	ITIS	36428
Convolvulus arvensis 	scientific	Convolvulus arvensis	ITIS	30705
Cotula coronopifolia 	scientific	Cotula coronopifolia	ITIS	35799
Crassula aquatica	scientific	Crassula aquatica	ITIS	24099
Deschampsia  danthonioides 	scientific	Deschampsia danthonioides	ITIS	40593
Distichlis spicata 	scientific	Distichlis spicata	ITIS	40662
Downingia concolor	scientific	Downingia concolor	ITIS	34555
Downingia cuspidata	scientific	Downingia cuspidata	ITIS	34556
Downingia insignis	scientific	Downingia insignis	ITIS	34558
Epilobium  pygmaeum	scientific	Epilobium pygmaeum	ITIS	507920
Erodium botrys	scientific	Erodium botrys	ITIS	29146
Eremocarpus  setigerus 	scientific	Eremocarpus setigerus	ITIS	28317
Eryngium vaseyi	scientific	Eryngium vaseyi	ITIS	29505
Euphorbia sp.	scientific	Euphorbia	ITIS	28032
Geranium dissectum	scientific	Geranium dissectum	ITIS	29135
Hemizonia congesta	scientific	Hemizonia congesta	ITIS	37613
Hemizonia pungens	scientific	Hemizonia pungens	ITIS	502946
Hordeum  brachyantherum	scientific	Hordeum brachyantherum	ITIS	40875
Hordeum marinum	scientific	Hordeum marinum	ITIS	40880
Hypochaeris  glabra	scientific	Hypochaeris glabra	ITIS	37792
Juncus  bufonius 	scientific	Juncus bufonius	ITIS	39227
Layia  chrysanthemoides	scientific	Layia chrysanthemoides	ITIS	37857
