"name","type","lsa_ha","ca_ha","region","dataset"
"East Okoboji Lake","Natural",749,4942,NA,"Iowa"
"Five Island Lake","Natural",406,3411,NA,"Iowa"
"Ingham Lake","Natural",150,279,NA,"Iowa"
"Lake Cornelia","Natural",99,202,NA,"Iowa"
"Lake Manawa","Natural",318,1008,NA,"Iowa"
"Minnewashta Lake","Natural",50,119,NA,"Iowa"
"Little Spirit Lake","Natural",244,675,NA,"Iowa"
"Little Wall Lake","Natural",104,87,NA,"Iowa"
"Lost Island Lake ","Natural",470,1838,NA,"Iowa"
"Lower Gar Lake","Natural",103,4572,NA,"Iowa"
"North Twin Lake","Natural",187,351,NA,"Iowa"
"Silver Lake (Palo Alto)","Natural",260,3236,NA,"Iowa"
"Storm Lake","Natural",1271,5573,NA,"Iowa"
"Upper Gar Lake","Natural",16,179,NA,"Iowa"
"West Okoboji Lake","Natural",1574,5604,NA,"Iowa"
"Black Hawk Lake","Natural",308,4961,NA,"Iowa"
"Silver Lake (Dickinson)","Natural",431,4625,NA,"Iowa"
"Blue Lake","Oxbow",111,643,NA,"Iowa"
"Carter Lake","Oxbow",137,4707,NA,"Iowa"
"Browns Lake ","Oxbow",225,421,NA,"Iowa"
"DeSoto Bend Lake","Oxbow",360,6585,NA,"Iowa"
"NLA12_AL-101","RESERVOIR",1301.87196972,1093176.75725,"8","NLA"
"NLA12_AL-101","RESERVOIR",1301.87196972,1093176.75725,"8","NLA"
"NLA12_AL-102","RESERVOIR",72.9504202743,1229.10417664,"8","NLA"
"NLA12_AL-103","RESERVOIR",10363.258476,2005922.45417,"8","NLA"
"NLA12_AL-104","RESERVOIR",4731.47433567,3985851.14735,"8","NLA"
"NLA12_AL-105","RESERVOIR",32.5614630754,234.779707946,"8","NLA"
"NLA12_AL-105","RESERVOIR",32.5614630754,234.779707946,"8","NLA"
"NLA12_AL-112","RESERVOIR",5.55544262037,123.970031433,"8","NLA"
"NLA12_AL-113","RESERVOIR",29.4050183524,3900.98937469,"8","NLA"
"NLA12_AL-114","RESERVOIR",18.1047148678,331.305820312,"8","NLA"
"NLA12_AL-R03","MAN_MADE",22.4205389849,947.417324524,"8","NLA"
"NLA12_AL-R05","MAN_MADE",91.0347295531,963.539851685,"8","NLA"
"NLA12_AR-101","RESERVOIR",105.78499956,5720.32173615,"8","NLA"
"NLA12_AR-101","RESERVOIR",105.78499956,5720.32173615,"8","NLA"
"NLA12_AR-102","RESERVOIR",95.8925269531,113.22,"8","NLA"
"NLA12_AR-103","RESERVOIR",2428.92119151,376956.235193,"8","NLA"
"NLA12_AR-104","RESERVOIR",44.6821240012,4484.00651276,"8","NLA"
"NLA12_AR-105","RESERVOIR",7.29500253978,159.3,"8","NLA"
"NLA12_AR-105","RESERVOIR",7.29500253978,159.3,"8","NLA"
"NLA12_AR-106","RESERVOIR",222.592754158,5105.26895416,"8","NLA"
"NLA12_AR-109","MAN_MADE",4.1492252613,21.15,"8","NLA"
"NLA12_AR-111","MAN_MADE",2.0618030175,72.3411172484,"8","NLA"
"NLA12_AZ-101","RESERVOIR",373.488409653,1603313.79639,"10","NLA"
"NLA12_AZ-101","RESERVOIR",373.488409653,1603313.79639,"10","NLA"
"NLA12_AZ-102","RESERVOIR",119.179814995,6444.54131287,"13","NLA"
"NLA12_AZ-103","RESERVOIR",81.4525287246,3347.0227977,"13","NLA"
"NLA12_AZ-106","MAN_MADE",55.0064196746,393.48,"10","NLA"
"NLA12_AZ-107","RESERVOIR",529.233138574,193851.082724,"10","NLA"
"NLA12_AZ-118","MAN_MADE",8.00721008739,30.42,"10","NLA"
"NLA12_AZ-123","NATURAL_ENH",18.8742265403,2500.20023483,"10","NLA"
"NLA12_AZ-127","RESERVOIR",24.7658944756,4308.03466507,"13","NLA"
"NLA12_AZ-130","RESERVOIR",622.699319771,1505169.71705,"10","NLA"
"NLA12_AZ-130","RESERVOIR",622.699319771,1505169.71705,"10","NLA"
"NLA12_AZ-140","MAN_MADE",5.89728311142,142.792462463,"12","NLA"
"NLA12_AZ-143","MAN_MADE",16.7232733211,692.73,"13","NLA"
"NLA12_AZ-145","RESERVOIR",48.4485317013,9298.47373352,"13","NLA"
"NLA12_AZ-157","MAN_MADE",17.2823054238,29.3399999999,"13","NLA"
"NLA12_AZ-R01","MAN_MADE",24.1383530272,1024.99913178,"13","NLA"
"NLA12_AZ-R02","MAN_MADE",5.14889931854,3088.48087875,"13","NLA"
"NLA12_CA-101","RESERVOIR",335.341664733,9324.58699513,"11","NLA"
"NLA12_CA-101","RESERVOIR",335.341664733,9324.58699513,"11","NLA"
"NLA12_CA-102","RESERVOIR",731.021413978,53194.5180588,"11","NLA"
"NLA12_CA-103","RESERVOIR",574.725353286,12237.8616484,"6","NLA"
"NLA12_CA-104","NATURAL",118.816914943,694.796024323,"6","NLA"
"NLA12_CA-105","MAN_MADE",21.369253953,63.99,"11","NLA"
"NLA12_CA-106","MAN_MADE",62.785337194,123.75,"10","NLA"
"NLA12_CA-107","MAN_MADE",70.0184469128,1330.72697588,"6","NLA"
"NLA12_CA-108","MAN_MADE",69.7719104825,378433.300258,"11","NLA"
"NLA12_CA-111","MAN_MADE",146.549393906,35238.9376332,"11","NLA"
"NLA12_CA-111","MAN_MADE",146.549393906,35238.9376332,"11","NLA"
"NLA12_CA-112","MAN_MADE",21.6054144125,12993.8534069,"11","NLA"
"NLA12_CA-116","NATURAL",19.5861426555,122.264988499,"6","NLA"
"NLA12_CA-119","MAN_MADE",4470.73540995,234294.028341,"11","NLA"
"NLA12_CA-121","MAN_MADE",1005.92829975,101056.202324,"11","NLA"
"NLA12_CA-123","MAN_MADE",10.4270216343,168.935552559,"6","NLA"
"NLA12_CA-128","NATURAL",1.03338466072,164.121563129,"6","NLA"
"NLA12_CA-132","MAN_MADE",36.1721791494,3091.72868694,"6","NLA"
"NLA12_CA-135","MAN_MADE",245.77478839,3214.90269814,"6","NLA"
"NLA12_CA-138","NATURAL",8.90710011811,463.449810161,"6","NLA"
"NLA12_CA-141","MAN_MADE",1.61342233475,68.04,"11","NLA"
