"name","type","lsa_ha","ca_ha","region","dataset"
"NLA12_NY-0109","NATURAL",16.8314786311,2089.11981171,"5","NLA"
"NLA12_NY-0110","NATURAL",3.06132649431,31.77,"5","NLA"
"NLA12_NY-0111","NATURAL",4.45810851869,37.0060345461,"5","NLA"
"NLA12_NY-0112","NATURAL",4.09491363276,98.132189941,"8","NLA"
"NLA12_NY-R02","MAN_MADE",16.6405928865,179.65828949,"5","NLA"
"NLA12_NY-R03","NATURAL",2.52510622482,97.0528134155,"5","NLA"
"NLA12_NY-R04","NATURAL",3.69964180051,177.75,"8","NLA"
"NLA12_NY-R06","NATURAL",1.81934477598,26.64,"5","NLA"
"NLA12_NY-R07","NATURAL",1.36669209268,15.2986376951,"8","NLA"
"NLA12_NY-R08","NATURAL",1.98099923361,55.44,"8","NLA"
"NLA12_NY-R11","NATURAL",55.5021205627,151.241926575,"5","NLA"
"NLA12_OH-101","MAN_MADE",391.629258704,99859.0593095,"8","NLA"
"NLA12_OH-101","MAN_MADE",391.629258704,99859.0593095,"8","NLA"
"NLA12_OH-102","RESERVOIR",327.119367076,20126.5345116,"8","NLA"
"NLA12_OH-103","RESERVOIR",43.043005502,1243.49572403,"8","NLA"
"NLA12_OH-104","RESERVOIR",80.718939833,3553.89380447,"8","NLA"
"NLA12_OH-105","RESERVOIR",2018.92313449,27059.1470274,"8","NLA"
"NLA12_OH-106","RESERVOIR",24.2493145771,1214.24965301,"8","NLA"
"NLA12_OH-107","MAN_MADE",424.654765931,3347.96988785,"8","NLA"
"NLA12_OH-112","MAN_MADE",46.6216884041,69.3,"8","NLA"
"NLA12_OH-113","MAN_MADE",8.11332704518,106.306465759,"8","NLA"
"NLA12_OH-115","RESERVOIR",47.7415983015,677.345071564,"8","NLA"
"NLA12_OH-118","RESERVOIR",102.710770465,298.35,"8","NLA"
"NLA12_OH-118","RESERVOIR",102.710770465,298.35,"8","NLA"
"NLA12_OH-122","RESERVOIR",7.12180244611,837.412205657,"8","NLA"
"NLA12_OH-127","RESERVOIR",65.0867340568,811.17,"8","NLA"
"NLA12_OH-134","RESERVOIR",15.3162422125,1875.68578537,"8","NLA"
"NLA12_OH-136","RESERVOIR",21.0213721894,239.630976562,"8","NLA"
"NLA12_OH-137","NATURAL_ENH",34.5570060208,284.4,"8","NLA"
"NLA12_OH-R02","NATURAL",12.2179820462,90.6755795286,"8","NLA"
"NLA12_OH-R03","MAN_MADE",11.4807271062,31.68,"8","NLA"
"NLA12_OK-101","RESERVOIR",533.124046411,3068.16475067,"9","NLA"
"NLA12_OK-101","RESERVOIR",533.124046411,3068.16475067,"9","NLA"
"NLA12_OK-102","RESERVOIR",1546.24204583,79694.4961972,"9","NLA"
"NLA12_OK-103","RESERVOIR",10136.0445178,22211862.5594,"9","NLA"
"NLA12_OK-104","RESERVOIR",4212.85795554,91312.820126,"9","NLA"
"NLA12_OK-105","RESERVOIR",637.1498901,3474383.96497,"9","NLA"
"NLA12_OK-106","RESERVOIR",3254.78629135,3290453.57115,"9","NLA"
"NLA12_OK-107","RESERVOIR",5210.838212,414135.970779,"8","NLA"
"NLA12_OK-108","RESERVOIR",285.78564056,5290.43029541,"9","NLA"
"NLA12_OK-109","RESERVOIR",325.371810279,12196.6628879,"9","NLA"
"NLA12_OK-117","MAN_MADE",28.6262314036,1532.71103851,"9","NLA"
"NLA12_OK-118","RESERVOIR",141.513238267,15093.0457278,"9","NLA"
"NLA12_OK-119","RESERVOIR",160.737137907,4474.16653931,"9","NLA"
"NLA12_OK-120","RESERVOIR",103.451693052,3534.60457947,"9","NLA"
"NLA12_OK-121","RESERVOIR",177.657303033,8322.6072464,"9","NLA"
"NLA12_OK-122","RESERVOIR",51.2172425605,964.352930602,"9","NLA"
"NLA12_OK-132","MAN_MADE",14.4919596466,733.607108459,"9","NLA"
"NLA12_OK-133","MAN_MADE",9.5189647054,1136.00524933,"9","NLA"
"NLA12_OK-134","RESERVOIR",1245.38904126,184079.621437,"9","NLA"
"NLA12_OK-135","RESERVOIR",204.276484018,5301.48587585,"9","NLA"
"NLA12_OK-285","MAN_MADE",6.88514818056,77.67,"9","NLA"
"NLA12_OK-286","MAN_MADE",3.00375375845,243.712271118,"9","NLA"
"NLA12_OK-288","MAN_MADE",5.12374044506,50.76,"8","NLA"
"NLA12_OK-291","NATURAL",175.55286731,1477.45202179,"8","NLA"
"NLA12_OK-292","MAN_MADE",40.7829575084,1772.3371756,"9","NLA"
"NLA12_OK-293","MAN_MADE",10.1301018322,1389.03346252,"9","NLA"
"NLA12_OK-296","MAN_MADE",3.40241208985,76.59,"9","NLA"
"NLA12_OK-299","MAN_MADE",4.02064673199,9.54,"8","NLA"
"NLA12_OK-299","MAN_MADE",4.02064673199,9.54,"8","NLA"
"NLA12_OK-302","MAN_MADE",18.4103450875,355.32,"9","NLA"
"NLA12_OK-306","MAN_MADE",6.68264440377,954.013579103,"9","NLA"
"NLA12_OK-311","MAN_MADE",12.5456497419,1328.92877747,"8","NLA"
"NLA12_OK-R01","MAN_MADE",26.7632752472,984.42,"9","NLA"
"NLA12_OK-R09","MAN_MADE",81.0041151605,2802.58573975,"9","NLA"
"NLA12_OR-101","NATURAL",89.836915299,8402.81746124,"10","NLA"
"NLA12_OR-102","RESERVOIR",107.829785412,129867.136466,"10","NLA"
"NLA12_OR-103","NATURAL",128.055500185,9440.75735613,"6","NLA"
"NLA12_OR-103","NATURAL",128.055500185,9440.75735613,"6","NLA"
"NLA12_OR-104","RESERVOIR",3230.27862769,65096.0076918,"7","NLA"
"NLA12_OR-105","RESERVOIR",911.818009403,42661.8222504,"6","NLA"
"NLA12_OR-106","RESERVOIR",63.691580619,4739.122791,"6","NLA"
"NLA12_OR-107","NATURAL",14.4841041411,603.117141638,"7","NLA"
"NLA12_OR-109","NATURAL",2443.70247379,7673.99542362,"6","NLA"
"NLA12_OR-110","RESERVOIR",52.6616039504,1172.56145725,"6","NLA"
"NLA12_OR-111","NATURAL_ENH",278.681220385,1473.46684971,"10","NLA"
"NLA12_OR-112","RESERVOIR",716.788085095,115724.29452,"6","NLA"
"NLA12_OR-113","RESERVOIR",256.494669727,16532.2954856,"6","NLA"
"NLA12_OR-121","NATURAL",5.78110343548,677.88,"6","NLA"
"NLA12_OR-121","NATURAL",5.78110343548,677.88,"6","NLA"
"NLA12_OR-123","RESERVOIR",4.40430917064,5234.64368534,"6","NLA"
"NLA12_OR-126","NATURAL",14.7200329145,334.524360752,"6","NLA"
"NLA12_OR-128","NATURAL",1389.76119355,9384.39747688,"6","NLA"
"NLA12_OR-129","NATURAL",13.4348889642,317.25,"7","NLA"
"NLA12_OR-131","MAN_MADE",39.0486420753,171.9,"7","NLA"
"NLA12_OR-133","MAN_MADE",14.3022655694,73.89,"6","NLA"
"NLA12_OR-144","NATURAL",1.98148254754,7.02,"6","NLA"
"NLA12_OR-145","NATURAL",45.0475323961,279.18,"7","NLA"
"NLA12_OR-154","RESERVOIR",202.39226874,69549.8324112,"6","NLA"
"NLA12_OR-155","RESERVOIR",70.5646140031,3747.46627356,"6","NLA"
"NLA12_OR-158","NATURAL_ENH",6.12867694276,134.553906241,"7","NLA"
"NLA12_OR-160","NATURAL",3.88632754458,236.88,"6","NLA"
"NLA12_OR-163","NATURAL",2.82343131565,44.01,"6","NLA"
"NLA12_OR-167","NATURAL",15.000530172,161.299535237,"7","NLA"
"NLA12_OR-169","RESERVOIR",709.529338098,47684.0388611,"7","NLA"
"NLA12_OR-173","NATURAL",6.46598877362,65.88,"6","NLA"
"NLA12_PA-101","RESERVOIR",3347.38114092,248087.020309,"8","NLA"
"NLA12_PA-101","RESERVOIR",3347.38114092,248087.020309,"8","NLA"
"NLA12_PA-102","RESERVOIR",63.1960765869,768.103003235,"8","NLA"
"NLA12_PA-103","NATURAL",20.1266412608,204.901575623,"8","NLA"
"NLA12_PA-105","RESERVOIR",12.6195281756,350.620068054,"8","NLA"
"NLA12_PA-106","RESERVOIR",448.960305532,24896.2013086,"8","NLA"
"NLA12_PA-107","RESERVOIR",18.170256996,2502.18162186,"8","NLA"
"NLA12_PA-108","NATURAL",397.205861517,1575.36,"8","NLA"
"NLA12_PA-108","NATURAL",397.205861517,1575.36,"8","NLA"
"NLA12_PA-109","NATURAL_ENH",102.144746306,764.348865051,"5","NLA"
"NLA12_PA-110","NATURAL",14.5441769199,144.360604248,"8","NLA"
"NLA12_PA-111","RESERVOIR",101.690180325,1162.10966446,"8","NLA"
"NLA12_PA-113","NATURAL",373.903210456,6975.30056671,"8","NLA"
"NLA12_PA-114","NATURAL_ENH",54.9546200364,253.191810607,"8","NLA"
"NLA12_PA-115","MAN_MADE",10.576319199,106.11,"8","NLA"
"NLA12_PA-117","MAN_MADE",1.6289486811,38.25,"8","NLA"
"NLA12_PA-118","NATURAL_ENH",28.1537761013,82.0048837284,"5","NLA"
"NLA12_PA-119","RESERVOIR",334.093423,24588.699825,"8","NLA"
"NLA12_PA-R10","MAN_MADE",16.9240538931,2245.97111572,"8","NLA"
"NLA12_PA-R11","MAN_MADE",98.8030780198,1534.14,"8","NLA"
"NLA12_RI-102","MAN_MADE",63.7954854804,1616.11016693,"8","NLA"
"NLA12_RI-102","MAN_MADE",63.7954854804,1616.11016693,"8","NLA"
"NLA12_RI-103","MAN_MADE",56.9625308442,22360.6254364,"8","NLA"
"NLA12_RI-104","MAN_MADE",93.75240405,1992.40489655,"8","NLA"
"NLA12_RI-108","MAN_MADE",251.673924186,14548.3469879,"8","NLA"
"NLA12_RI-110","NATURAL",1.92205817197,18.18,"8","NLA"
"NLA12_RI-111","NATURAL",7.17074941986,61.726324768,"8","NLA"
"NLA12_RI-111","NATURAL",7.17074941986,61.726324768,"8","NLA"
"NLA12_RI-112","RESERVOIR",83.5674996716,5744.34154632,"8","NLA"
"NLA12_RI-113","MAN_MADE",4.97711255557,153.335448304,"8","NLA"
"NLA12_SC-102","MAN_MADE",14.7069431541,177.302537842,"8","NLA"
"NLA12_SC-103","RESERVOIR",183.884843568,3926.37913605,"8","NLA"
"NLA12_SC-103","RESERVOIR",183.884843568,3926.37913605,"8","NLA"
"NLA12_SC-104","MAN_MADE",4.83932228531,64.26,"8","NLA"
"NLA12_SC-104","MAN_MADE",4.83932228531,64.26,"8","NLA"
"NLA12_SC-105","MAN_MADE",5.57727816281,114.83643219,"8","NLA"
"NLA12_SC-106","RESERVOIR",76.6541428508,23575.2291321,"8","NLA"
"NLA12_SC-108","MAN_MADE",6.75104878055,2104.80798889,"8","NLA"
"NLA12_SC-112","MAN_MADE",8.30780376559,1278.22601074,"8","NLA"
"NLA12_SC-112","MAN_MADE",8.30780376559,1278.22601074,"8","NLA"
"NLA12_SC-118","RESERVOIR",35614.0538649,3792839.94305,"8","NLA"
"NLA12_SC-127","MAN_MADE",34.9719604856,134.01,"8","NLA"
"NLA12_SD-101","RESERVOIR",125497.415778,60452735.0194,"9","NLA"
"NLA12_SD-101","RESERVOIR",125497.415778,60452735.0194,"9","NLA"
"NLA12_SD-102","MAN_MADE",191.754800377,43286.9277612,"9","NLA"
"NLA12_SD-103","NATURAL",427.245270191,2251.35,"9","NLA"
"NLA12_SD-104","NATURAL",18.4311676888,85.77,"9","NLA"
"NLA12_SD-105","NATURAL",146.631753548,3771.63,"9","NLA"
"NLA12_SD-106","NATURAL",857.195129462,10093.41,"9","NLA"
"NLA12_SD-107","MAN_MADE",45.9591406566,19915.7527496,"6","NLA"
"NLA12_SD-108","NATURAL",57.7621328908,1061.64,"9","NLA"
"NLA12_SD-109","NATURAL",20.8672846294,1092.24,"9","NLA"
"NLA12_SD-110","NATURAL",23.0253493271,1008.36,"9","NLA"
"NLA12_SD-111","NATURAL",29.2319010014,232.56,"9","NLA"
"NLA12_SD-114","NATURAL",20.7698057969,87.48,"9","NLA"
"NLA12_SD-115","NATURAL",15.6209401391,1220.13,"9","NLA"
"NLA12_SD-115","NATURAL",15.6209401391,1220.13,"9","NLA"
"NLA12_SD-119","MAN_MADE",15.188130174,867.115216599,"9","NLA"
"NLA12_SD-122","NATURAL",5.52433169771,50.67,"9","NLA"
"NLA12_SD-124","MAN_MADE",2.61632703079,53.01,"9","NLA"
"NLA12_SD-126","NATURAL",14.2736657246,306.72,"9","NLA"
"NLA12_SD-130","NATURAL",2.78418896654,7.11,"9","NLA"
"NLA12_SD-131","NATURAL",20.5526930002,246.42,"9","NLA"
"NLA12_SD-132","MAN_MADE",22.230825188,1005.32946533,"9","NLA"
"NLA12_SD-133","MAN_MADE",4.90403724135,1323.24948029,"9","NLA"
"NLA12_SD-134","NATURAL",10.4240015419,27.63,"9","NLA"
"NLA12_SD-137","MAN_MADE",1.77256074952,196.658265838,"9","NLA"
"NLA12_SD-138","NATURAL",696.332935774,8774.82522949,"9","NLA"
"NLA12_SD-140","MAN_MADE",76.9427676444,5511.29330978,"9","NLA"
"NLA12_SD-141","NATURAL",47.8923755779,1505.52,"9","NLA"
"NLA12_SD-143","MAN_MADE",22.0956270293,1541.11674957,"9","NLA"
"NLA12_SD-146","NATURAL",2.50937552744,15.66,"9","NLA"
"NLA12_SD-147","MAN_MADE",37.8215006603,5886.66860733,"9","NLA"
"NLA12_SD-150","NATURAL",17.6622267221,1865.16,"9","NLA"
"NLA12_SD-154","NATURAL",125.122681579,21295.35,"9","NLA"
"NLA12_SD-157","NATURAL",22.4445364194,3438.63,"9","NLA"
"NLA12_SD-158","NATURAL",109.781682121,1887.98570755,"9","NLA"
"NLA12_SD-162","NATURAL_ENH",394.950260637,47834.2315654,"9","NLA"
"NLA12_SD-165","MAN_MADE",4.51125392339,1384.08345978,"9","NLA"
"NLA12_SD-166","NATURAL",4.26192168767,17.73,"9","NLA"
"NLA12_SD-168","MAN_MADE",55.0062024145,29988.5131,"9","NLA"
"NLA12_SD-170","NATURAL",4.82891266902,70.02,"9","NLA"
"NLA12_SD-172","MAN_MADE",4.62520666659,81.7946445465,"9","NLA"
"NLA12_SD-182","NATURAL",60.5715725399,1230.39,"9","NLA"
"NLA12_SD-183","RESERVOIR",34308.2553897,65646221.5563,"9","NLA"
"NLA12_SD-189","NATURAL",412.21123639,25951.1847514,"9","NLA"
"NLA12_SD-198","NATURAL_ENH",285.020620338,91181.5438115,"9","NLA"
"NLA12_SD-212","MAN_MADE",3.62038101102,81.8030072022,"9","NLA"
"NLA12_TN-101","MAN_MADE",12.4238438975,217.59652771,"8","NLA"
"NLA12_TN-101","MAN_MADE",12.4238438975,217.59652771,"8","NLA"
"NLA12_TN-103","RESERVOIR",30.2182921479,29446.7359845,"8","NLA"
"NLA12_TN-104","RESERVOIR",3121.5662759,182110.810806,"8","NLA"
"NLA12_TN-106","MAN_MADE",1.692910894,20.8339260864,"8","NLA"
"NLA12_TN-108","MAN_MADE",33.4331410328,131.55674469,"8","NLA"
"NLA12_TN-108","MAN_MADE",33.4331410328,131.55674469,"8","NLA"
"NLA12_TN-113","MAN_MADE",8.85902974432,62.6309884643,"8","NLA"
"NLA12_TN-114","MAN_MADE",4.92212486769,244.831478577,"8","NLA"
"NLA12_TN-114","MAN_MADE",4.92212486769,244.831478577,"8","NLA"
"NLA12_TN-119","MAN_MADE",25.1163048946,1459.26712463,"8","NLA"
"NLA12_TN-122","MAN_MADE",20.3206907436,331.058388977,"8","NLA"
"NLA12_TN-R01","RESERVOIR",744.611818734,153953.947109,"8","NLA"
"NLA12_TX-101","RESERVOIR",13.8396193793,1265.23300232,"9","NLA"
"NLA12_TX-101","RESERVOIR",13.8396193793,1265.23300232,"9","NLA"
"NLA12_TX-103","RESERVOIR",6559.39426303,5109647.84394,"9","NLA"
"NLA12_TX-104","MAN_MADE",63.0306367595,2118.57815094,"9","NLA"
"NLA12_TX-105","RESERVOIR",9530.14537743,216913.205014,"8","NLA"
"NLA12_TX-107","MAN_MADE",8.21257235525,1342.87051849,"9","NLA"
"NLA12_TX-109","MAN_MADE",5.36116778332,110.469446411,"8","NLA"
"NLA12_TX-110","RESERVOIR",8783.07360601,429964.889639,"9","NLA"
"NLA12_TX-111","RESERVOIR",56.7548228705,6736.89729172,"9","NLA"
"NLA12_TX-112","MAN_MADE",6.20716515969,374.073505554,"9","NLA"
"NLA12_TX-113","RESERVOIR",7062.47361203,229095.256165,"8","NLA"
"NLA12_TX-114","RESERVOIR",427.151665779,25817.9876614,"9","NLA"
"NLA12_TX-116","MAN_MADE",13.8661009299,524.35247223,"9","NLA"
"NLA12_TX-117","MAN_MADE",14.7143996474,888.727975157,"8","NLA"
"NLA12_TX-117","MAN_MADE",14.7143996474,888.727975157,"8","NLA"
"NLA12_TX-118","MAN_MADE",37.7351804599,121.05,"9","NLA"
"NLA12_TX-121","RESERVOIR",852.490247492,9383.10761261,"8","NLA"
"NLA12_TX-124","RESERVOIR",6050.90263168,281445.411379,"9","NLA"
"NLA12_TX-128","RESERVOIR",43.1958863911,1401.6430481,"9","NLA"
"NLA12_TX-129","RESERVOIR",302.654731038,64.9261779781,"9","NLA"
"NLA12_TX-135","MAN_MADE",6.72270534229,153292.32,"9","NLA"
"NLA12_TX-136","MAN_MADE",12.0798201015,12961.0125742,"9","NLA"
"NLA12_TX-137","RESERVOIR",481.439582032,10262.2057526,"8","NLA"
"NLA12_TX-141","RESERVOIR",214.602894183,3631.77568268,"8","NLA"
"NLA12_TX-144","RESERVOIR",20.727772426,979.979287719,"9","NLA"
"NLA12_TX-148","RESERVOIR",20.2055483747,223.316998902,"9","NLA"
"NLA12_TX-152","RESERVOIR",707.33107998,317484.036645,"9","NLA"
"NLA12_TX-157","MAN_MADE",21.6603396889,85308.2429645,"8","NLA"
"NLA12_TX-158","MAN_MADE",14.0496697442,780.20071106,"9","NLA"
"NLA12_TX-159","RESERVOIR",21.4277445591,625.832243042,"9","NLA"
"NLA12_TX-160","MAN_MADE",24.6133401823,36.45,"9","NLA"
"NLA12_TX-161","MAN_MADE",7.5907812864,190.26,"9","NLA"
"NLA12_TX-165","RESERVOIR",2386.69649332,45967.0641998,"8","NLA"
"NLA12_TX-169","MAN_MADE",30.0730476048,670.88642212,"8","NLA"
"NLA12_TX-170","RESERVOIR",27.3039874989,283.483383178,"8","NLA"
"NLA12_TX-176","MAN_MADE",3.51444348913,90.54,"9","NLA"
"NLA12_TX-182","RESERVOIR",27.7556423697,3077.34335541,"9","NLA"
"NLA12_TX-187","MAN_MADE",21.2867349068,1749.78047516,"8","NLA"
"NLA12_TX-190","RESERVOIR",12.5573696519,458.641356812,"9","NLA"
"NLA12_TX-195","RESERVOIR",17.0897441595,238.448254395,"8","NLA"
"NLA12_TX-196","RESERVOIR",14.8296292965,1317.42873688,"9","NLA"
"NLA12_TX-199","MAN_MADE",6.17689487905,275.85,"8","NLA"
"NLA12_TX-201","MAN_MADE",2.95251116771,23.67,"8","NLA"
"NLA12_TX-202","RESERVOIR",5.47204233405,215.64,"9","NLA"
"NLA12_TX-205","MAN_MADE",80.0241400606,585.9,"9","NLA"
"NLA12_TX-218","MAN_MADE",203.147741794,4345.75170044,"9","NLA"
"NLA12_TX-232","MAN_MADE",2.07953227024,165.15,"8","NLA"
"NLA12_TX-234","MAN_MADE",26.4746341477,3984.3687497,"9","NLA"
"NLA12_TX-235","MAN_MADE",5.12287781298,276.03,"8","NLA"
"NLA12_TX-R02","MAN_MADE",45650.6908646,893421.434515,"8","NLA"
"NLA12_TX-R08","MAN_MADE",263.020857735,10297.2087076,"8","NLA"
"NLA12_TX-R09","MAN_MADE",143.586948114,2956.35530456,"8","NLA"
"NLA12_UT-101","NATURAL_ENH",169.522484323,1644.03,"6","NLA"
"NLA12_UT-101","NATURAL_ENH",169.522484323,1644.03,"6","NLA"
"NLA12_UT-102","RESERVOIR",1331.97086576,256608.325539,"10","NLA"
"NLA12_UT-103","RESERVOIR",69.8245905302,16931.2364793,"6","NLA"
"NLA12_UT-104","RESERVOIR",3987.60609172,12773.25,"10","NLA"
"NLA12_UT-105","RESERVOIR",536.641399085,187728.434517,"6","NLA"
"NLA12_UT-108","RESERVOIR",144.315411483,17467.4805359,"6","NLA"
"NLA12_UT-109","RESERVOIR",43.2852810212,18976.1364116,"10","NLA"
"NLA12_UT-110","NATURAL_ENH",14.3745383797,19.71,"10","NLA"
"NLA12_UT-110","NATURAL_ENH",14.3745383797,19.71,"10","NLA"
"NLA12_UT-112","NATURAL",2.61615257672,99.99,"6","NLA"
"NLA12_UT-118","NATURAL",7.7437907708,934.933249512,"6","NLA"
"NLA12_UT-122","NATURAL",11.2140292898,206.594442444,"6","NLA"
"NLA12_UT-125","RESERVOIR",18.8432861053,787.82496048,"6","NLA"
"NLA12_UT-126","NATURAL",4.49019517577,269.91,"6","NLA"
"NLA12_UT-128","MAN_MADE",35.7437159522,238.5,"10","NLA"
"NLA12_UT-137","NATURAL_ENH",18.0335100013,1136.97,"6","NLA"
"NLA12_UT-141","RESERVOIR",93.174515179,826106.100537,"10","NLA"
"NLA12_UT-147","NATURAL",2.41226082839,23.4,"6","NLA"
"NLA12_UT-148","NATURAL",41.7326788387,1397268.59157,"10","NLA"
"NLA12_UT-159","NATURAL",2.69005133507,37.17,"6","NLA"
"NLA12_UT-160","RESERVOIR",10.3486138673,7455.49430809,"10","NLA"
"NLA12_UT-165","RESERVOIR",136.794503128,2453.32839729,"6","NLA"
"NLA12_UT-167","NATURAL_ENH",6.68675818021,4868.63680367,"10","NLA"
"NLA12_UT-169","RESERVOIR",24.7843049083,143.710082474,"6","NLA"
"NLA12_UT-173","RESERVOIR",100.964495483,79954.2595991,"10","NLA"
"NLA12_UT-186","RESERVOIR",9.62428900441,288.45,"6","NLA"
"NLA12_UT-196","RESERVOIR",31.4510871362,3964.34703873,"6","NLA"
"NLA12_UT-203","RESERVOIR",8.96494856722,136.8,"6","NLA"
"NLA12_UT-210","RESERVOIR",6.73678007659,2152.36196686,"6","NLA"
"NLA12_UT-218","RESERVOIR",1023.71804044,141918.794814,"6","NLA"
"NLA12_UT-222","RESERVOIR",48.531050471,2476.23062393,"6","NLA"
"NLA12_UT-229","RESERVOIR",32.4569384299,77.0904670719,"6","NLA"
"NLA12_UT-260","RESERVOIR",27.8563871553,825.66,"6","NLA"
"NLA12_UT-264","RESERVOIR",11.2287174453,846.963252411,"6","NLA"
"NLA12_UT-290","NATURAL_ENH",12.1283562864,23.49,"10","NLA"
"NLA12_UT-294","RESERVOIR",35.0740013502,10594.1756593,"6","NLA"
"NLA12_UT-324","RESERVOIR",39.4280479203,516.547484665,"6","NLA"
"NLA12_UT-325","RESERVOIR",266.05593945,37229.4302,"6","NLA"
"NLA12_UT-343","NATURAL",69.3943105054,318.651581497,"6","NLA"
"NLA12_UT-359","RESERVOIR",42.4906927015,7581.91631287,"10","NLA"
"NLA12_UT-374","RESERVOIR",151.334534046,39359.613574,"10","NLA"
"NLA12_UT-392","RESERVOIR",3220.73016921,1321432.91617,"10","NLA"
"NLA12_UT-397","RESERVOIR",70.1819771135,21775.6930051,"6","NLA"
"NLA12_UT-400","NATURAL_ENH",11.466572163,6436.63017059,"10","NLA"
"NLA12_UT-409","NATURAL_ENH",11.818673164,2361.15,"10","NLA"
"NLA12_UT-412","RESERVOIR",18.0997761117,5314.33854492,"6","NLA"
"NLA12_UT-424","RESERVOIR",60.6852370891,1012.52538322,"6","NLA"
"NLA12_VA-101","MAN_MADE",28.8381138663,4217.98674133,"8","NLA"
"NLA12_VA-101","MAN_MADE",28.8381138663,4217.98674133,"8","NLA"
"NLA12_VA-102","MAN_MADE",34.2910015008,1123.19084289,"8","NLA"
"NLA12_VA-103","MAN_MADE",10.1116674459,233.160935669,"8","NLA"
"NLA12_VA-104","MAN_MADE",29.6826571309,1957.19106995,"8","NLA"
"NLA12_VA-105","MAN_MADE",15.4487723553,12026.5229279,"8","NLA"
"NLA12_VA-106","MAN_MADE",18.4328740674,1258.98150696,"8","NLA"
"NLA12_VA-108","MAN_MADE",34.2781282856,3699.14305572,"8","NLA"
"NLA12_VA-109","MAN_MADE",2.53384786802,41.13,"8","NLA"
"NLA12_VA-109","MAN_MADE",2.53384786802,41.13,"8","NLA"
"NLA12_VA-110","MAN_MADE",39.6893754281,2769.17816986,"8","NLA"
"NLA12_VA-111","MAN_MADE",5.74043475881,1089.22964722,"8","NLA"
"NLA12_VA-112","MAN_MADE",4.02019283979,222.75,"8","NLA"
"NLA12_VA-114","MAN_MADE",1.10443004216,33.03,"8","NLA"
"NLA12_VA-116","MAN_MADE",1.96282491816,146.520420227,"8","NLA"
"NLA12_VA-118","MAN_MADE",2.04113293682,111.732802735,"8","NLA"
"NLA12_VA-119","MAN_MADE",44.4617825135,324.150339661,"8","NLA"
"NLA12_VA-121","MAN_MADE",14.7600808204,542.566354065,"8","NLA"
"NLA12_VA-123","MAN_MADE",4.15494231432,9.09,"8","NLA"
"NLA12_VA-125","MAN_MADE",50.4857157485,5347.48155853,"8","NLA"
"NLA12_VA-126","MAN_MADE",3.75107957816,453.463361664,"8","NLA"
"NLA12_VA-127","MAN_MADE",35.2667336748,6469.78566467,"8","NLA"
"NLA12_VA-130","MAN_MADE",12.7117667772,770.152442322,"8","NLA"
"NLA12_VA-R01","MAN_MADE",73.7033573977,4068.23455399,"8","NLA"
"NLA12_VA-R05","MAN_MADE",360.849604802,1166.76102722,"8","NLA"
"NLA12_VA-R06","MAN_MADE",79.7242636911,1798.82990387,"8","NLA"
"NLA12_VA-R14","MAN_MADE",1.46055106253,16.74,"8","NLA"
"NLA12_VA-R17","MAN_MADE",133.275666176,1084.10375061,"8","NLA"
"NLA12_VA-R18","MAN_MADE",3.95626902801,47.1647378542,"8","NLA"
"NLA12_VT-101","NATURAL_ENH",82.1596877282,1671.66630615,"5","NLA"
"NLA12_VT-101","NATURAL_ENH",82.1596877282,1671.66630615,"5","NLA"
"NLA12_VT-102","NATURAL_ENH",83.3521902049,2196.87562958,"5","NLA"
"NLA12_VT-103","NATURAL",107359.900463,2126376.91858,"8","NLA"
"NLA12_VT-104","RESERVOIR",41.1262027443,176.04,"5","NLA"
"NLA12_VT-106","NATURAL",9.49578173322,124.691407471,"5","NLA"
"NLA12_VT-109","NATURAL_ENH",10.8980577129,157.267966004,"5","NLA"
"NLA12_VT-110","NATURAL",7.16374077302,219.813557739,"5","NLA"
"NLA12_VT-112","NATURAL",10.8606855553,212.58,"5","NLA"
"NLA12_VT-112","NATURAL",10.8606855553,212.58,"5","NLA"
"NLA12_VT-114","NATURAL_ENH",177.557642836,1180.19754135,"5","NLA"
"NLA12_VT-115","NATURAL",6.35674517451,40.14,"5","NLA"
"NLA12_VT-R01","NATURAL",12.5478007751,113.58,"5","NLA"
"NLA12_VT-R02","NATURAL",26.2183948505,109.540321655,"5","NLA"
"NLA12_WA-101","NATURAL",17.6229414672,124.56,"7","NLA"
"NLA12_WA-101","NATURAL",17.6229414672,124.56,"7","NLA"
"NLA12_WA-102","NATURAL",15.1645238375,558.995286999,"6","NLA"
"NLA12_WA-103","NATURAL",441.486551335,5279.04,"7","NLA"
"NLA12_WA-104","NATURAL_ENH",2575.59879829,20208667.1898,"10","NLA"
"NLA12_WA-106","MAN_MADE",84.032959805,694.32751502,"6","NLA"
"NLA12_WA-107","MAN_MADE",101.308478111,15686.3506572,"7","NLA"
"NLA12_WA-108","NATURAL",120.369071005,7997.51443256,"6","NLA"
"NLA12_WA-109","MAN_MADE",10.3147172226,75.2400000001,"7","NLA"
"NLA12_WA-110","NATURAL",7.18501031512,745.696486158,"7","NLA"
"NLA12_WA-111","MAN_MADE",76.6528834976,3786.17075924,"10","NLA"
"NLA12_WA-112","NATURAL_ENH",27.0003943789,230.826523934,"6","NLA"
"NLA12_WA-114","MAN_MADE",109.404347855,43973.5429041,"7","NLA"
"NLA12_WA-115","NATURAL",4.11947427145,108.81,"6","NLA"
