attributeName	code	definition
TUBE	1	Tube 1
TUBE	2	Tube 2
TUBE	3	Tube 3
TUBE	4	Tube 4
TUBE	5	Tube 5
BATCH	1	Batch 1
BATCH	2	Batch 2
BATCH	3	Batch 3
BATCH	4	Batch 4
BATCH	5	Batch 5
BATCH	6	Batch 6
BATCH	7	Batch 7
BATCH	8	Batch 8
BATCH	9	Batch 9
SEASON	GROWING	Growing season
SEASON	NONGROWING	Non-growing season
