name	name_type	name_resolved	authority_system	authority_id
Polygonum argyrocoleon	scientific	NA	NA	NA
Cirsium vulgare	scientific	NA	NA	NA
Tragopogon dubius	scientific	NA	NA	NA
Taraxacum officinale	scientific	NA	NA	NA
Bromus inermis	scientific	NA	NA	NA
Dactylis glomerata	scientific	NA	NA	NA
Arrhenatherum elatius	scientific	NA	NA	NA
Polygonum douglasii	scientific	NA	NA	NA
Collomia linearis	scientific	NA	NA	NA
Androsace septentrionalis	scientific	NA	NA	NA
Erigeron flagellaris	scientific	NA	NA	NA
Ipomopsis aggregata	scientific	NA	NA	NA
Boechera stricta	scientific	NA	NA	NA
Draba helleriana	scientific	NA	NA	NA
Draba albertina	scientific	NA	NA	NA
Artemisia campestris	scientific	NA	NA	NA
Cirsium tioganum	scientific	NA	NA	NA
Phacelia sericea	scientific	NA	NA	NA
Draba oligosperma	scientific	NA	NA	NA
Tryphane rubella	scientific	NA	NA	NA
Castilleja sp.	scientific	NA	NA	NA
Arnica sp.	scientific	NA	NA	NA
Penstemon sp.	scientific	NA	NA	NA
Linum lewisii	scientific	NA	NA	NA
Potentilla sp.	scientific	NA	NA	NA
Viola canadensis	scientific	NA	NA	NA
Delphinium sp.	scientific	NA	NA	NA
Campanula rotundifolia	scientific	NA	NA	NA
Erigeron speciosus	scientific	NA	NA	NA
Galium boreale	scientific	NA	NA	NA
Lathyrus  leucanthus	scientific	NA	NA	NA
Lupinus sericeus	scientific	NA	NA	NA
Valariana occidentalis	scientific	NA	NA	NA
Viola sp.	scientific	NA	NA	NA
Fragaria virginiana	scientific	NA	NA	NA
Ligusticum porteri	scientific	NA	NA	NA
Hymenoxys hoopesii	scientific	NA	NA	NA
Arenaria congesta	scientific	NA	NA	NA
Delphinium barbeyi	scientific	NA	NA	NA
Heterotheca villosa	scientific	NA	NA	NA
Potentilla concinna	scientific	NA	NA	NA
Thalictrum fendleri	scientific	NA	NA	NA
Senecio serra	scientific	NA	NA	NA
Potentilla pulcherrima	scientific	NA	NA	NA
Heracleum sphondylium	scientific	NA	NA	NA
Helianthella quinquenervis	scientific	NA	NA	NA
Viola vallicola	scientific	NA	NA	NA
Chamerion angustifolium	scientific	NA	NA	NA
Potentilla pulcherrima x hippiana	scientific	NA	NA	NA
Maianthemum stellatum	scientific	NA	NA	NA
Antennaria parvifolia	scientific	NA	NA	NA
Erigeron elatior	scientific	NA	NA	NA
Agoseris glauca	scientific	NA	NA	NA
Arnica mollis	scientific	NA	NA	NA
Geum rossii	scientific	NA	NA	NA
Senecio amplectens	scientific	NA	NA	NA
Erigeron sp.	scientific	NA	NA	NA
Cymopterus lemmonii	scientific	NA	NA	NA
Senecio integrerrimus	scientific	NA	NA	NA
Castilleja occidentalis	scientific	NA	NA	NA
Cerastium beeringianum	scientific	NA	NA	NA
Valeriana edulis	scientific	NA	NA	NA
Geranium richardsonii	scientific	NA	NA	NA
Vicia americana	scientific	NA	NA	NA
Viola adunca	scientific	NA	NA	NA
Silene drummondii	scientific	NA	NA	NA
Geum triflorum	scientific	NA	NA	NA
Aquilegia coerulea	scientific	NA	NA	NA
Lomatium dissectum	scientific	NA	NA	NA
Symphyotrichum foliaceum	scientific	NA	NA	NA
Gentiana parryi	scientific	NA	NA	NA
Vaccinium myrtillus	scientific	NA	NA	NA
Mertensia ciliata	scientific	NA	NA	NA
Erigeron coulteri	scientific	NA	NA	NA
Potentilla gracilis	scientific	NA	NA	NA
Arnica longifolia	scientific	NA	NA	NA
