attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
ANC_HT_ALERT			character	Holding Time Exceeded Limit of 7 Days (Y/N)	Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
TURB_HT_ALERT			character	TURB Holding Time Exceeded Limit of 3 Days (Y/N)	TURB Holding Time Exceeded Limit of 3 Days (Y/N)	factor		
TOC_HT_ALERT			character	TOC Holding Time Exceeded Limit of 14 Days (Y/N)	TOC Holding Time Exceeded Limit of 14 Days (Y/N)	factor		
DOC_HT_ALERT			character	DOC Holding Time Exceeded Limit of 14 Days (Y/N)	DOC Holding Time Exceeded Limit of 14 Days (Y/N)	factor		
NH4_HT_ALERT			character	Holding Time Exceeded Limit of 28 Days (Y/N)	Holding Time Exceeded Limit of 28 Days (Y/N)	factor		
NO3NO2_HT_ALERT			character	NO3NO2 Holding Time Exceeded Limit of 7 Days (Y/N)	NO3NO2 Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
NTL_HT_ALERT			character	Total N Holding Time Exceeded Limit of 28 Days (Y/N)	Total N Holding Time Exceeded Limit of 28 Days (Y/N)	factor		
PTL_HT_ALERT			character	PTL Holding Time Exceeded Limit of 28 Days (Y/N)	PTL Holding Time Exceeded Limit of 28 Days (Y/N)	factor		
CL_HT_ALERT			character	CL Holding Time Exceeded Limit of 7 Days (Y/N)	CL Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
NO3_HT_ALERT			character	Holding Time Exceeded Limit of 7 Days (Y/N)	Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
SO4_HT_ALERT			character	Holding Time Exceeded Limit of 7 Days (Y/N)	Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
CA_HT_ALERT			character	CA Holding Time Exceeded Limit of 180 Days (Y/N)	CA Holding Time Exceeded Limit of 180 Days (Y/N)	factor		
MG_HT_ALERT			character	MG Holding Time Exceeded Limit of 180 Days (Y/N)	MG Holding Time Exceeded Limit of 180 Days (Y/N)	factor		
NA_HT_ALERT			character	NA Holding Time Exceeded Limit of 180 Days (Y/N)	NA Holding Time Exceeded Limit of 180 Days (Y/N)	factor		
K_HT_ALERT			character	K Holding Time Exceeded Limit of 180 Days (Y/N)	K Holding Time Exceeded Limit of 180 Days (Y/N)	factor		
COLOR_HT_ALERT			character	COLOR Holding Time Exceeded Limit of 3 Days (Y/N)	COLOR Holding Time Exceeded Limit of 3 Days (Y/N)	factor		
SIO2_HT_ALERT			character	SIO2 Holding Time Exceeded Limit of 7 Days (Y/N)	SIO2 Holding Time Exceeded Limit of 7 Days (Y/N)	factor		
COM_FIELD_PH			character	Field pH comment from Profile_do_com data	Field pH comment from Profile_do_com data	character		
COMMENT_FLD_CHEM			character	Field Sampling Comments	Field Sampling Comments	character		
