latitude	longitude	site
54.39433333	23.643	Simnas
54.98566667	25.21661111	Sitvys
55.93819444	23.33627778	Talksa
54.43508333	23.85044444	Udrija
41.19861111	22.73333333	Dojran
41.02722222	20.81138889	Ohrid
40.9525	20.91888889	Prespa
52.30002778	4.840333333	Amstelveense
51.72298	5.337262	Empelse put
51.70669444	5.288194444	Ertveldplas
51.74069444	5.496638889	Geffense
52.080702	5.373029	Henschotermeer
52.38566667	5.017111111	Kinselmeer
51.55163889	5.120138889	Koningshoeve
52.34833333	4.664083333	Meerwijkplas
52.344	4.655111111	Molenplas
52.331641	4.820326	Nieuwe Meer
51.67822222	5.113944444	Put Van Drunen
51.70391667	5.752083333	Plaas aan de Reeweg
52.36366667	4.817222222	Sloterplas
52.45254	4.890774	Stooterplas
52.42558333	4.669416667	Westbroekplas
51.826224	5.944239	Wylerbergmeer
59.24499167	10.32690083	Akersvannet
59.68997417	10.74331722	Arungen
59.5143325	10.15597611	Hillestadvannet
59.69832931	11.05206361	Mjaer
59.68844944	10.82986111	Ostensjovannet
59.42701722	10.98318778	Saebyvannet
59.66792389	11.54612917	Skulerudsjoen
59.39440806	10.83571972	Vansjo-Storefjorden
59.29807833	11.08458833	Tunevannet
59.44232083	10.75360167	Vansjo-Vanemfjorden
53.83109167	19.84415	Bartezek
51.53272222	23.0425	Biale Sosnowickie
52.20016667	17.11708333	Bninskie
52.400966	15.620132	Bukowieckie Dute
52.381964	15.603918	Bukowieckie Mate
52.54277778	16.37722222	Buszewskie
53.78222222	20.45444444	Czarne
52.19305556	21.07138889	Czerniakowskie
52.29361111	16.69880556	Debno
53.78611111	20.46111111	Dlugie
52.36722222	20.84694444	Dziekanowskie
52.26575	16.79672222	Goreckie
52.88611111	17.25222222	Grylewskie
53.79708611	19.84148611	Ilinskie
52.28502778	16.79886111	Jaroslawieckie
51.84967528	18.69479017	Jeziorsko Reservoir
54.26666667	22.86581667	Kamedut
52.36166667	20.87583333	Kielpinskie
52.4875	16.78722222	Kierskie Male
53.761444	20.445607	Kortowskie
52.25041667	17.08033333	Kornickie
52.52302778	17.37905556	Lednica
52.842467	17.292447	Leknenskie
52.24905556	16.75191667	Lodzko Dymaczewskie
52.52777778	16.3825	Lubosinskie
52.42986667	16.65826667	Lusowskie
53.77388889	21.46	Majcz
52.401944	16.970556	Maltanski Reservoir
53.78194444	21.59222222	Mikolajskie
53.57555556	21.54888889	Nidzkie
52.38363333	16.61503333	Niepruszewskie
52.51138889	16.24083333	Pniewskie
53.804962	20.450855	Podkowka
50.08638889	19.83377778	Podkamycze_1
50.08322222	19.83483333	Podkamycze_2
52.15861111	21.09833333	Powsinkowskie
53.82322222	21.37822222	Probarskie
52.143176	17.165351	Raczynskie
53.81527778	20.41777778	Redykajny
52.750756	17.007086	Rogozinskie
53.67	21.91861111	Ros
52.42469444	16.88380556	Rusalka
53.89399167	19.75711667	Ruda Woda
53.90972222	21.48916667	Rynskie
52.93980556	23.758375	Siemianowka
53.75666667	20.53055556	Skanda
53.74805556	20.45361111	Starodworskie
52.46005	16.82425	Strzeszynskie
52.24505556	16.59961111	Strykowskie
51.45786217	19.97830228	Sulejow
51.37144444	23.14966667	Sumin
52.413611	17.065	Swarzndzkie
51.28755556	23.23813889	Syczynskie
54.22928611	22.8975	Szurpily
51.46658333	23.00238889	Tomaszne
53.78916667	20.54	Track
50.02986111	19.82761111	Tyniec_1
50.02447222	19.81325	Tyniec_2
53.80472222	20.42305556	Tyrsko
53.77916667	20.43083333	Ukiel_1
53.78638889	20.42916667	Ukiel_2
53.78444444	20.41722222	Ukiel_3
53.79139	20.414779	Ukiel_4
52.448056	17.133333	Uzarzewskie
49.88228	20.0446111	Wolnica
51.18844444	22.52969444	Zemborzycki
41.57561111	-6.897638889	Azibo
37.87288333	-25.76991667	Azul
37.758206	-25.332376	Furnas
41.78597222	-6.820972222	Gostei
41.49486111	-6.26925	Miranda
41.29397222	-7.175222222	Peneireiro
40.33604	-7.5926361	Peixao
40.37035	-7.6236	Redonda
41.96166667	-6.772	Serra Serrada
37.8428	-25.78891667	Lagoa Verde
60.36027778	30.88777778	Ladoga
60.08472222	30	Sestroretskij Razliv
60.0425	30.305	Suzdal
59.73298	17.547852	Malaren Ekoln
59.84007	18.62512	Erken
55.70019444	13.47836111	Krankesjon
59.73056667	18.73476667	Limmaren
59.86344444	17.94175	Lotsjon
55.86308333	13.54197222	Eastern Ringsjon
55.77933333	13.3615	Sepond_1
55.73913889	13.20922222	Sepond_2
59.87247222	17.17066667	Strandsjon
59.50832	18.0448	Vallentunasjon
59.73936111	17.84322222	Valloxen
55.68172222	13.59277778	Vombsjon
46.36157778	14.08768333	Bled
46.53325278	16.12036667	Gajsevsko
46.74987778	16.040175	Ledavsko
46.58318611	15.73239444	Pernica
48.17016667	17.14206667	Kuchajda
48.52186667	19.66493333	Malinec
48.81695	21.98628333	Vinne
48.79675	22.02086667	Zemplinska
40.60005833	31.27861111	Abant
41.1199	30.490133	Acarlar
41.28194444	36.93722222	Ak lake
36.29133333	33.96416667	Akgol
36.58658333	35.31869444	Akyatan
40.60611111	31.67638889	Aladag
41.04777778	30.56472222	Buyuk Akgol
41.57916667	36.07722222	Balik
36.98116667	34.879	Berdan
37.8302	31.4205	Beysehir_1
37.66118333	31.63313333	Beysehir_2
40.803618	36.153587	Borabay
37.21497222	35.31344444	Catalan
41.63861111	36.06888889	Cernek
40.48027778	30.83444444	Cubuk
39.252586	28.232628	Caygoren
38.6283	31.11801667	Eber
38.19378333	30.83833333	Egirdir_1
37.96123333	30.89731667	Egirdir_2
39.82583333	32.8325	Eymir
41.57861111	36.05972222	Gici
40.65416667	31.62527778	Golcuk
37.12083333	29.59811667	Golhisar
40.45808333	33.26580556	Gumerdigin
39.473607	27.929277	Ikizcetepeler
40.87833333	30.43194444	Kucuk Akgol
40.50208333	33.23177778	Karaoren
37.40211667	30.84833333	Karacaoren_1
37.30864722	30.81348056	Karacaoren_2
37.6231	30.87921667	Kovada
40.50197222	33.48494444	Karadere
38.43063333	30.85913333	Karamik
37.38566667	29.96963333	Karatas
40.196153	41.050553	Kuzgun
40.90722222	36.00861111	Ladik
41.69833333	36.01861111	Liman
39.77888889	32.79611111	Mogan
40.688141	30.389838	Mollakoy
39.67133333	41.02433333	Palandoken
36.30111	34.0111944	Paradeniz
40.83833333	30.46888889	Poyrazlar
40.52980556	33.46688889	Saraykoy
40.52286111	33.26955556	Sabanozu
40.98805556	39.61833333	Sera
37.05530556	35.33230556	Seyhan
40.57358333	33.46125	Seydi
41.29777778	36.92805556	Simenit
37.32455556	31.99213889	Sugla
40.87055556	30.40111111	Taskisigi
41.57222222	36.06583333	Tatli
39.75291667	40.40922222	Tercan
