geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
BLM	37.62755	37.62755	-106.25329	-106.25329
BLM	37.61693	37.61693	-106.2624	-106.2624
BNP	29.23005	29.23005	-103.37832	-103.37832
BNP	29.27425	29.27425	-103.28608	-103.28608
CAD	33.30862	33.30862	-97.60532	-97.60532
CAD	33.3087	33.3087	-97.60635	-97.60635
CAD	33.30787	33.30787	-97.60542	-97.60542
CNF	36.23189	36.23189	-106.37604	-106.37604
CNF	36.22032	36.22032	-106.37158	-106.37158
CPR/CPR-EDGE	40.501	40.501	-104.4545	-104.4545
DMT	30.34736	30.34736	-104.04668	-104.04668
DMT	30.34758	30.34758	-104.03952	-104.03952
DMT	30.69382	30.69382	-104.12415	-104.12415
FCP	36.0235	36.0235	-99.9439	-99.9439
FMT	32.03624	32.03624	-107.64451	-107.64451
FMT	32.16806	32.16806	-107.75105	-107.75105
GMT	31.95908	31.95908	-104.76002	-104.76002
GNF	32.79587	32.79587	-108.18346	-108.18346
GNF	32.74914	32.74914	-108.2876	-108.2876
HAR/HAR-EDGE	39.0878	39.0878	-99.1559	-99.1559
HPG/HPG-EDGE	41.122	41.122	-104.5313	-104.5313
KAE	34.9779	34.9779	-97.5228	-97.5228
KAE	34.98053	34.98053	-97.52155	-97.52155
KNZ	39.0745	39.0745	-96.6036	-96.6036
KNZ-EDGE	39.0852	39.0852	-96.5553	-96.5553
LAR	40.66462	40.66462	-98.9063	-98.9063
LBJ	30.1847	30.1847	-97.8675	-97.8675
LBJ	30.18225	30.18225	-97.87452	-97.87452
LBJ	30.18331	30.18331	-97.8768	-97.8768
NWP	36.0417	36.0417	-94.8137	-94.8137
ONF	34.80954	34.80954	-94.13184	-94.13184
RNF	38.1882	38.1882	-106.51498	-106.51498
SCP	40.69482	40.69482	-96.85447	-96.85447
SCP	40.69234	40.69234	-96.85299	-96.85299
SEV/SEV-EDGE	34.34214	34.34214	-106.62261	-106.62261
SEV-EDGE	34.33731	34.33731	-106.72839	-106.72839
SFA	31.09185	31.09185	-94.26535	-94.26535
UHC	29.39087	29.39087	-95.03443	-95.03443
