attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
value_denovo2569	Number of reads of a specific OTU XXX	numeric	number			
value_denovo977	Number of reads of a specific OTU XXX	numeric	number			
value_denovo971	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1790	Number of reads of a specific OTU XXX	numeric	number			
value_denovo302	Number of reads of a specific OTU XXX	numeric	number			
value_denovo630	Number of reads of a specific OTU XXX	numeric	number			
value_denovo892	Number of reads of a specific OTU XXX	numeric	number			
value_denovo899	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1964	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1961	Number of reads of a specific OTU XXX	numeric	number			
value_denovo314	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2149	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2321	Number of reads of a specific OTU XXX	numeric	number			
value_denovo884	Number of reads of a specific OTU XXX	numeric	number			
value_denovo280	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1141	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1124	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1735	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1451	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1921	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1761	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2530	Number of reads of a specific OTU XXX	numeric	number			
value_denovo735	Number of reads of a specific OTU XXX	numeric	number			
value_denovo472	Number of reads of a specific OTU XXX	numeric	number			
value_denovo994	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1274	Number of reads of a specific OTU XXX	numeric	number			
value_denovo670	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1202	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1231	Number of reads of a specific OTU XXX	numeric	number			
value_denovo78	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2467	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1107	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1409	Number of reads of a specific OTU XXX	numeric	number			
value_denovo659	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1050	Number of reads of a specific OTU XXX	numeric	number			
value_denovo737	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1194	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2735	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1522	Number of reads of a specific OTU XXX	numeric	number			
value_denovo389	Number of reads of a specific OTU XXX	numeric	number			
value_denovo743	Number of reads of a specific OTU XXX	numeric	number			
value_denovo395	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1384	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2419	Number of reads of a specific OTU XXX	numeric	number			
value_denovo278	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1127	Number of reads of a specific OTU XXX	numeric	number			
value_denovo524	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2536	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1260	Number of reads of a specific OTU XXX	numeric	number			
value_denovo124	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1543	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2632	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1507	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1916	Number of reads of a specific OTU XXX	numeric	number			
value_denovo975	Number of reads of a specific OTU XXX	numeric	number			
value_denovo885	Number of reads of a specific OTU XXX	numeric	number			
value_denovo501	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2287	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1848	Number of reads of a specific OTU XXX	numeric	number			
value_denovo367	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2661	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2439	Number of reads of a specific OTU XXX	numeric	number			
value_denovo523	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1265	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2586	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2508	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1190	Number of reads of a specific OTU XXX	numeric	number			
value_denovo258	Number of reads of a specific OTU XXX	numeric	number			
value_denovo225	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1854	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1580	Number of reads of a specific OTU XXX	numeric	number			
value_denovo562	Number of reads of a specific OTU XXX	numeric	number			
value_denovo601	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1665	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2382	Number of reads of a specific OTU XXX	numeric	number			
value_denovo442	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1128	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1051	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1083	Number of reads of a specific OTU XXX	numeric	number			
value_denovo226	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1869	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2378	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1229	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1456	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2000	Number of reads of a specific OTU XXX	numeric	number			
value_denovo520	Number of reads of a specific OTU XXX	numeric	number			
value_denovo828	Number of reads of a specific OTU XXX	numeric	number			
value_denovo826	Number of reads of a specific OTU XXX	numeric	number			
value_denovo645	Number of reads of a specific OTU XXX	numeric	number			
value_denovo760	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2685	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1140	Number of reads of a specific OTU XXX	numeric	number			
value_denovo684	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1235	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1892	Number of reads of a specific OTU XXX	numeric	number			
value_denovo738	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1932	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1397	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1118	Number of reads of a specific OTU XXX	numeric	number			
value_denovo570	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1954	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1370	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1047	Number of reads of a specific OTU XXX	numeric	number			
value_denovo394	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1577	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1803	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2065	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2236	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2355	Number of reads of a specific OTU XXX	numeric	number			
value_denovo802	Number of reads of a specific OTU XXX	numeric	number			
value_denovo10	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1597	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1865	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1349	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1184	Number of reads of a specific OTU XXX	numeric	number			
value_denovo243	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2516	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2655	Number of reads of a specific OTU XXX	numeric	number			
value_denovo843	Number of reads of a specific OTU XXX	numeric	number			
value_denovo384	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1668	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1956	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2708	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1843	Number of reads of a specific OTU XXX	numeric	number			
value_denovo89	Number of reads of a specific OTU XXX	numeric	number			
value_denovo167	Number of reads of a specific OTU XXX	numeric	number			
value_denovo168	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1861	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2103	Number of reads of a specific OTU XXX	numeric	number			
value_denovo788	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1120	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1498	Number of reads of a specific OTU XXX	numeric	number			
value_denovo948	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1436	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2532	Number of reads of a specific OTU XXX	numeric	number			
value_denovo262	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2344	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1707	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1208	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2336	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2134	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1023	Number of reads of a specific OTU XXX	numeric	number			
value_denovo398	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1797	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1189	Number of reads of a specific OTU XXX	numeric	number			
value_denovo708	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2684	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1092	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2077	Number of reads of a specific OTU XXX	numeric	number			
value_denovo66	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2160	Number of reads of a specific OTU XXX	numeric	number			
value_denovo437	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1237	Number of reads of a specific OTU XXX	numeric	number			
value_denovo29	Number of reads of a specific OTU XXX	numeric	number			
value_denovo15	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2699	Number of reads of a specific OTU XXX	numeric	number			
value_denovo224	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1895	Number of reads of a specific OTU XXX	numeric	number			
value_denovo345	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2696	Number of reads of a specific OTU XXX	numeric	number			
value_denovo375	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1833	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2100	Number of reads of a specific OTU XXX	numeric	number			
value_denovo173	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1291	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1375	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1106	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2381	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1286	Number of reads of a specific OTU XXX	numeric	number			
value_denovo59	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1170	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1779	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1681	Number of reads of a specific OTU XXX	numeric	number			
value_denovo325	Number of reads of a specific OTU XXX	numeric	number			
