name	name_type	name_resolved	authority_system	authority_id
Acupalpus testaceus	scientific	Acupalpus testaceus	NA	NA
Harpalus katiae	scientific	Harpalus katiae	NA	NA
Selenophorus granarius	scientific	Selenophorus granarius	NA	NA
Selenophorus pedicularius	scientific	Selenophorus pedicularius	NA	NA
Selenophorus opalinus	scientific	Selenophorus opalinus	NA	NA
Anisodactylus haplomus	scientific	Anisodactylus haplomus	NA	NA
Harpalus plenalis	scientific	Harpalus plenalis	NA	NA
Apenes sinuata	scientific	Apenes sinuata	NA	NA
Discoderus impotens	scientific	Discoderus impotens	NA	NA
Anisodactylus opaculus	scientific	Anisodactylus opaculus	NA	NA
Cyclotrachelus substriatus	scientific	Cyclotrachelus substriatus	NA	NA
Olisthopus parmatus	scientific	Olisthopus parmatus	NA	NA
Aspidoglossa subangulata	scientific	Aspidoglossa subangulata	NA	NA
Stenolophus dissimilis	scientific	Stenolophus dissimilis	NA	NA
Helluomorphoides texanus	scientific	Helluomorphoides texanus	NA	NA
Cratacanthus dubius	scientific	Cratacanthus dubius	NA	NA
Harpalus paratus	scientific	Harpalus paratus	NA	NA
Harpalus erraticus	scientific	Harpalus erraticus	NA	NA
Tetracha carolina	scientific	Tetracha carolina	NA	NA
Tetragonoderus intersectus	scientific	Tetragonoderus intersectus	NA	NA
Amblygnathus mexicanus	scientific	Amblygnathus mexicanus	NA	NA
Stenolophus carbo	scientific	Stenolophus carbo	NA	NA
Harpalus protractus	scientific	Harpalus protractus	NA	NA
Calosoma scrutator	scientific	Calosoma scrutator	NA	NA
Micrixys distincta	scientific	Micrixys distincta	NA	NA
Calosoma wilcoxi	scientific	Calosoma wilcoxi	NA	NA
Chlaenius pusillus	scientific	Chlaenius pusillus	NA	NA
Dicaelus crenatus	scientific	Dicaelus crenatus	NA	NA
Harpalus ellipsis	scientific	Harpalus ellipsis	NA	NA
Pasimachus elongatus	scientific	Pasimachus elongatus	NA	NA
Amara farcta	scientific	Amara farcta	NA	NA
Discoderus parallelus	scientific	Discoderus parallelus	NA	NA
Selenophorus planipennis	scientific	Selenophorus planipennis	NA	NA
Piosoma setosum	scientific	Piosoma setosum	NA	NA
Cyclotrachelus torvus	scientific	Cyclotrachelus torvus	NA	NA
Cymindis planipennis	scientific	Cymindis planipennis	NA	NA
Dyschirius tenuispinus	scientific	Dyschirius tenuispinus	NA	NA
Axinopalpus biplagiatus	scientific	Axinopalpus biplagiatus	NA	NA
Cicindela punctulata	scientific	Cicindela punctulata	NA	NA
Cyclotrachelus constrictus	scientific	Cyclotrachelus constrictus	NA	NA
Harpalus desertus	scientific	Harpalus desertus	NA	NA
Euryderus grossus	scientific	Euryderus grossus	NA	NA
Amara convexa	scientific	Amara convexa	NA	NA
Dyschirius planatus	scientific	Dyschirius planatus	NA	NA
Philophuga caerulea	scientific	Philophuga caerulea	NA	NA
Amara musculis	scientific	Amara musculis	NA	NA
Cymindis pilosa	scientific	Cymindis pilosa	NA	NA
Anisodactylus carbonarius	scientific	Anisodactylus carbonarius	NA	NA
Bembidion nitidum	scientific	Bembidion nitidum	NA	NA
Harpalus reversus	scientific	Harpalus reversus	NA	NA
Cymindis interior	scientific	Cymindis interior	NA	NA
Amara harpalina	scientific	Amara harpalina	NA	NA
Helluomorphoides praeustus	scientific	Helluomorphoides praeustus	NA	NA
Amara apricaria	scientific	Amara apricaria	NA	NA
Diplocheila obtusa	scientific	Diplocheila obtusa	NA	NA
Amara quenseli	scientific	Amara quenseli	NA	NA
Amara confusa	scientific	Amara confusa	NA	NA
Bembidion rapidum	scientific	Bembidion rapidum	NA	NA
Chlaenius pennsylvanicus	scientific	Chlaenius pennsylvanicus	NA	NA
Cicindela purpurea	scientific	Cicindela purpurea	NA	NA
Harpalus fraternus	scientific	Harpalus fraternus	NA	NA
Amara coelebs	scientific	Amara coelebs	NA	NA
Microlestes linearis	scientific	Microlestes linearis	NA	NA
Calosoma affine	scientific	Calosoma affine	NA	NA
Acupalpus partiarius	scientific	Acupalpus partiarius	NA	NA
Amara obesa	scientific	Amara obesa	NA	NA
Chlaenius nemoralis	scientific	Chlaenius nemoralis	NA	NA
Lebia vittata	scientific	Lebia vittata	NA	NA
Pterostichus melanarius	scientific	Pterostichus melanarius	NA	NA
Poecilus scitulus	scientific	Poecilus scitulus	NA	NA
Calosoma peregrinator	scientific	Calosoma peregrinator	NA	NA
Harpalus fuscipalpis	scientific	Harpalus fuscipalpis	NA	NA
Harpalus nigritarsis	scientific	Harpalus nigritarsis	NA	NA
Rhadine lindrothi	scientific	Rhadine lindrothi	NA	NA
Pterostichus atratus	scientific	Pterostichus atratus	NA	NA
Chlaenius erythropus	scientific	Chlaenius erythropus	NA	NA
Chlaenius prasinus	scientific	Chlaenius prasinus	NA	NA
Brachinus alternans	scientific	Brachinus alternans	NA	NA
Cyclotrachelus convivus	scientific	Cyclotrachelus convivus	NA	NA
Clivina planicollis	scientific	Clivina planicollis	NA	NA
Cylindera cursitans	scientific	Cylindera cursitans	NA	NA
Dicaelus sculptilis	scientific	Dicaelus sculptilis	NA	NA
Pterostichus ophryoderus	scientific	Pterostichus ophryoderus	NA	NA
Clinidium baldufi	scientific	Clinidium baldufi	NA	NA
Polyderis laeva	scientific	Polyderis laeva	NA	NA
Semiardistomis puncticollis	scientific	Semiardistomis puncticollis	NA	NA
Lophoglossus haldemanni	scientific	Lophoglossus haldemanni	NA	NA
Loxandrus cincinnati	scientific	Loxandrus cincinnati	NA	NA
Loxandrus erraticus	scientific	Loxandrus erraticus	NA	NA
Chlaenius oxygonus	scientific	Chlaenius oxygonus	NA	NA
Scarites quadriceps	scientific	Scarites quadriceps	NA	NA
Dyschirius pilosus	scientific	Dyschirius pilosus	NA	NA
Agonum striatopunctatum	scientific	Agonum striatopunctatum	NA	NA
Elaphropus saturatus	scientific	Elaphropus saturatus	NA	NA
Loxandrus rectus	scientific	Loxandrus rectus	NA	NA
Agonum sulcipenne	scientific	Agonum sulcipenne	NA	NA
Diplocheila crossi	scientific	Diplocheila crossi	NA	NA
Elaphropus xanthopus	scientific	Elaphropus xanthopus	NA	NA
Brachinus americanus	scientific	Brachinus americanus	NA	NA
Tachys oblitus	scientific	Tachys oblitus	NA	NA
Paraclivina ferrea	scientific	Paraclivina ferrea	NA	NA
Amara familiaris	scientific	Amara familiaris	NA	NA
Cylindera unipunctata	scientific	Cylindera unipunctata	NA	NA
Loxandrus vulneratus	scientific	Loxandrus vulneratus	NA	NA
Brachinus perplexus	scientific	Brachinus perplexus	NA	NA
Oodes brevis	scientific	Oodes brevis	NA	NA
Pasimachus sublaevis	scientific	Pasimachus sublaevis	NA	NA
Scarites ocalensis	scientific	Scarites ocalensis	NA	NA
Selenophorus fossulatus	scientific	Selenophorus fossulatus	NA	NA
Cyclotrachelus faber	scientific	Cyclotrachelus faber	NA	NA
Pasimachus strenuus	scientific	Pasimachus strenuus	NA	NA
Paraclivina sulcipennis	scientific	Paraclivina sulcipennis	NA	NA
Tachys columbiensis	scientific	Tachys columbiensis	NA	NA
Anisodactylus harpaloides	scientific	Anisodactylus harpaloides	NA	NA
Pasimachus subsulcatus	scientific	Pasimachus subsulcatus	NA	NA
Loxandrus crenatus	scientific	Loxandrus crenatus	NA	NA
Cyclotrachelus dejeanellus	scientific	Cyclotrachelus dejeanellus	NA	NA
Stenocrepis mexicana	scientific	Stenocrepis mexicana	NA	NA
Lophoglossus tartaricus	scientific	Lophoglossus tartaricus	NA	NA
Paraclivina striatopunctata	scientific	Paraclivina striatopunctata	NA	NA
Tetragonoderus laevigatus	scientific	Tetragonoderus laevigatus	NA	NA
Semiardistomis viridis	scientific	Semiardistomis viridis	NA	NA
Tachys pulchellus	scientific	Tachys pulchellus	NA	NA
Selenophorus maritimus	scientific	Selenophorus maritimus	NA	NA
Dicaelus alternans	scientific	Dicaelus alternans	NA	NA
Anisodactylus furvus	scientific	Anisodactylus furvus	NA	NA
Carabus goryi	scientific	Carabus goryi	NA	NA
Dicaelus teter	scientific	Dicaelus teter	NA	NA
Sphaeroderus bicarinatus	scientific	Sphaeroderus bicarinatus	NA	NA
Pasimachus punctulatus	scientific	Pasimachus punctulatus	NA	NA
Cyclotrachelus freitagi	scientific	Cyclotrachelus freitagi	NA	NA
Pterostichus acutipes	scientific	Pterostichus acutipes	NA	NA
Cyclotrachelus fucatus	scientific	Cyclotrachelus fucatus	NA	NA
Dicaelus dilatatus	scientific	Dicaelus dilatatus	NA	NA
Piesmus submarginatus	scientific	Piesmus submarginatus	NA	NA
Pterostichus moestus	scientific	Pterostichus moestus	NA	NA
Apenes lucidula	scientific	Apenes lucidula	NA	NA
Scaphinotus andrewsii	scientific	Scaphinotus andrewsii	NA	NA
Anillinus langdoni	scientific	Anillinus langdoni	NA	NA
Scaphinotus guyotii	scientific	Scaphinotus guyotii	NA	NA
Scaphinotus hubbardi	scientific	Scaphinotus hubbardi	NA	NA
Harpalus spadiceus	scientific	Harpalus spadiceus	NA	NA
Gastrellarius blanchardi	scientific	Gastrellarius blanchardi	NA	NA
Gastrellarius unicarum	scientific	Gastrellarius unicarum	NA	NA
Agonoleptus rotundicollis	scientific	Agonoleptus rotundicollis	NA	NA
Notiobia nitidipennis	scientific	Notiobia nitidipennis	NA	NA
Pasimachus depressus	scientific	Pasimachus depressus	NA	NA
Harpalus gravis	scientific	Harpalus gravis	NA	NA
Acupalpus hydropicus	scientific	Acupalpus hydropicus	NA	NA
Carabus serratus	scientific	Carabus serratus	NA	NA
Syntomus americanus	scientific	Syntomus americanus	NA	NA
Calosoma frigidum	scientific	Calosoma frigidum	NA	NA
Cymindis americana	scientific	Cymindis americana	NA	NA
Cyclotrachelus laevipennis	scientific	Cyclotrachelus laevipennis	NA	NA
Cyclotrachelus ovulum	scientific	Cyclotrachelus ovulum	NA	NA
